t_wall_ns,time_usec,x,y,z,qw,qx,qy,qz,vx,vy,vz,rollspeed,pitchspeed,yawspeed
1785517664132591700,245245579,-0.00046874998952262104,6.83593752910383e-05,0.020546874031424522,0.0005136282998137176,-0.15473690629005432,4.169106250628829e-05,-0.9879554510116577,0.0,0.0,0.0,0.0,0.0,-0.0
1785517664145715800,245246139,-0.00046874998952262104,6.83593752910383e-05,0.020546874031424522,0.0005136282998137176,-0.15473690629005432,4.169106250628829e-05,-0.9879554510116577,0.0,0.0,0.0,0.0,0.0,-0.0
1785517664161346800,245246139,-0.00046874998952262104,6.83593752910383e-05,0.020546874031424522,0.0005136282998137176,-0.15473690629005432,4.169106250628829e-05,-0.9879554510116577,0.0,0.0,0.0,0.0,0.0,-0.0
1785517664174062900,245246139,-0.00046874998952262104,6.83593752910383e-05,0.020546874031424522,0.0005136282998137176,-0.15473690629005432,4.169106250628829e-05,-0.9879554510116577,0.0,0.0,0.0,0.0,0.0,-0.0
1785517664193035700,245305145,-0.00046874998952262104,6.83593752910383e-05,0.020546874031424522,0.0005136282998137176,-0.15473690629005432,4.169106250628829e-05,-0.9879554510116577,0.0,0.0,0.0,0.0,0.0,-0.0
1785517664207271400,245307863,-0.00046874998952262104,6.83593752910383e-05,0.020546874031424522,0.0005136282998137176,-0.15473690629005432,4.169106250628829e-05,-0.9879554510116577,0.0,0.0,0.0,0.0,0.0,-0.0
1785517664221895000,245307863,-0.00046874998952262104,6.83593752910383e-05,0.020546874031424522,0.0005136282998137176,-0.15473690629005432,4.169106250628829e-05,-0.9879554510116577,0.0,0.0,0.0,0.0,0.0,-0.0
1785517664241286100,245307863,-0.00046874998952262104,6.83593752910383e-05,0.020546874031424522,0.0005136282998137176,-0.15473690629005432,4.169106250628829e-05,-0.9879554510116577,0.0,0.0,0.0,0.0,0.0,-0.0
1785517664256048000,245368799,-0.00046874998952262104,6.83593752910383e-05,0.020546874031424522,0.0005136282998137176,-0.15473690629005432,4.169106250628829e-05,-0.9879554510116577,0.0,0.0,0.0,0.0,0.0,-0.0
1785517664272748000,245369249,-0.00046874998952262104,6.83593752910383e-05,0.020546874031424522,0.0005136282998137176,-0.15473690629005432,4.169106250628829e-05,-0.9879554510116577,0.0,0.0,0.0,0.0,0.0,-0.0
1785517664287225800,245369249,-0.00046874998952262104,6.83593752910383e-05,0.020546874031424522,0.0005136282998137176,-0.15473690629005432,4.169106250628829e-05,-0.9879554510116577,0.0,0.0,0.0,0.0,0.0,-0.0
1785517664302982000,245369249,-0.00046874998952262104,6.83593752910383e-05,0.020546874031424522,0.0005136282998137176,-0.15473690629005432,4.169106250628829e-05,-0.9879554510116577,0.0,0.0,0.0,0.0,0.0,-0.0
1785517664319986200,245433041,-0.00046874998952262104,6.83593752910383e-05,0.020546874031424522,0.0005136282998137176,-0.15473690629005432,4.169106250628829e-05,-0.9879554510116577,0.0,0.0,0.0,0.0,0.0,-0.0
1785517664335666300,245433513,-0.00046874998952262104,6.83593752910383e-05,0.020546874031424522,0.0005136282998137176,-0.15473690629005432,4.169106250628829e-05,-0.9879554510116577,0.0,0.0,0.0,0.0,0.0,-0.0
1785517664349610500,245433513,-0.00046874998952262104,6.83593752910383e-05,0.020546874031424522,0.0005136282998137176,-0.15473690629005432,4.169106250628829e-05,-0.9879554510116577,0.0,0.0,0.0,0.0,0.0,-0.0
1785517664363874900,245433513,-0.00046874998952262104,6.83593752910383e-05,0.020546874031424522,0.0005136282998137176,-0.15473690629005432,4.169106250628829e-05,-0.9879554510116577,0.0,0.0,0.0,0.0,0.0,-0.0
1785517664385963200,245496486,-0.00046874998952262104,6.83593752910383e-05,0.020546874031424522,0.0005136282998137176,-0.15473690629005432,4.169106250628829e-05,-0.9879554510116577,0.0,0.0,0.0,0.0,0.0,-0.0
1785517664401947300,245501820,-0.00046874998952262104,6.83593752910383e-05,0.020546874031424522,0.0005136282998137176,-0.15473690629005432,4.169106250628829e-05,-0.9879554510116577,0.0,0.0,0.0,0.0,0.0,-0.0
1785517664414784200,245501820,-0.00046874998952262104,6.83593752910383e-05,0.020546874031424522,0.0005136282998137176,-0.15473690629005432,4.169106250628829e-05,-0.9879554510116577,0.0,0.0,0.0,0.0,0.0,-0.0
1785517664430196100,245501820,-0.00046874998952262104,6.83593752910383e-05,0.020546874031424522,0.0005136282998137176,-0.15473690629005432,4.169106250628829e-05,-0.9879554510116577,0.0,0.0,0.0,0.0,0.0,-0.0
1785517664443333200,245546257,-0.00046874998952262104,6.83593752910383e-05,0.020546874031424522,0.0005136282998137176,-0.15473690629005432,4.169106250628829e-05,-0.9879554510116577,0.0,0.0,0.0,0.0,0.0,-0.0
1785517664458453800,245546257,-0.00046874998952262104,6.83593752910383e-05,0.020546874031424522,0.0005136282998137176,-0.15473690629005432,4.169106250628829e-05,-0.9879554510116577,0.0,0.0,0.0,0.0,0.0,-0.0
1785517664472550200,245546257,-0.00046874998952262104,6.83593752910383e-05,0.020546874031424522,0.0005136282998137176,-0.15473690629005432,4.169106250628829e-05,-0.9879554510116577,0.0,0.0,0.0,0.0,0.0,-0.0
1785517664490724600,245602734,-0.00046874998952262104,6.83593752910383e-05,0.020546874031424522,0.0005136282998137176,-0.15473690629005432,4.169106250628829e-05,-0.9879554510116577,0.0,0.0,0.0,0.0,0.0,-0.0
1785517664506731200,245602734,-0.00046874998952262104,6.83593752910383e-05,0.020546874031424522,0.0005136282998137176,-0.15473690629005432,4.169106250628829e-05,-0.9879554510116577,0.0,0.0,0.0,0.0,0.0,-0.0
1785517664519347800,245602734,-0.00046874998952262104,6.83593752910383e-05,0.020546874031424522,0.0005136282998137176,-0.15473690629005432,4.169106250628829e-05,-0.9879554510116577,0.0,0.0,0.0,0.0,0.0,-0.0
1785517664533283100,245602734,-0.00046874998952262104,6.83593752910383e-05,0.020546874031424522,0.0005136282998137176,-0.15473690629005432,4.169106250628829e-05,-0.9879554510116577,0.0,0.0,0.0,0.0,0.0,-0.0
1785517664551643500,245659939,-0.00046874998952262104,6.83593752910383e-05,0.020546874031424522,0.0005136282998137176,-0.15473690629005432,4.169106250628829e-05,-0.9879554510116577,0.0,0.0,0.0,0.0,0.0,-0.0
1785517664566157700,245659939,-0.00046874998952262104,6.83593752910383e-05,0.020546874031424522,0.0005136282998137176,-0.15473690629005432,4.169106250628829e-05,-0.9879554510116577,0.0,0.0,0.0,0.0,0.0,-0.0
1785517664581040700,245659939,-0.00046874998952262104,6.83593752910383e-05,0.020546874031424522,0.0005136282998137176,-0.15473690629005432,4.169106250628829e-05,-0.9879554510116577,0.0,0.0,0.0,0.0,0.0,-0.0
1785517664595987700,245659939,-0.00046874998952262104,6.83593752910383e-05,0.020546874031424522,0.0005136282998137176,-0.15473690629005432,4.169106250628829e-05,-0.9879554510116577,0.0,0.0,0.0,0.0,0.0,-0.0
1785517664611029000,245712321,-0.00046874998952262104,6.83593752910383e-05,0.020546874031424522,0.0005136282998137176,-0.15473690629005432,4.169106250628829e-05,-0.9879554510116577,0.0,0.0,0.0,0.0,0.0,-0.0
1785517664622995600,245712321,-0.00046874998952262104,6.83593752910383e-05,0.020546874031424522,0.0005136282998137176,-0.15473690629005432,4.169106250628829e-05,-0.9879554510116577,0.0,0.0,0.0,0.0,0.0,-0.0
1785517664640230600,245712321,-0.00046874998952262104,6.83593752910383e-05,0.020546874031424522,0.0005136282998137176,-0.15473690629005432,4.169106250628829e-05,-0.9879554510116577,0.0,0.0,0.0,0.0,0.0,-0.0
1785517664652111300,245762212,-0.00046874998952262104,6.83593752910383e-05,0.020546874031424522,0.0005136282998137176,-0.15473690629005432,4.169106250628829e-05,-0.9879554510116577,0.0,0.0,0.0,0.0,0.0,-0.0
1785517664665096900,245762212,-0.00046874998952262104,6.83593752910383e-05,0.020546874031424522,0.0005136282998137176,-0.15473690629005432,4.169106250628829e-05,-0.9879554510116577,0.0,0.0,0.0,0.0,0.0,-0.0
1785517664678693000,245762212,-0.00046874998952262104,6.83593752910383e-05,0.020546874031424522,0.0005136282998137176,-0.15473690629005432,4.169106250628829e-05,-0.9879554510116577,0.0,0.0,0.0,0.0,0.0,-0.0
1785517664692503300,245762212,-0.00046874998952262104,6.83593752910383e-05,0.020546874031424522,0.0005136282998137176,-0.15473690629005432,4.169106250628829e-05,-0.9879554510116577,0.0,0.0,0.0,0.0,0.0,-0.0
1785517664706729200,245818405,-0.00046874998952262104,6.83593752910383e-05,0.020546874031424522,0.0005136282998137176,-0.15473690629005432,4.169106250628829e-05,-0.9879554510116577,0.0,0.0,0.0,0.0,0.0,-0.0
1785517664721736800,245818405,-0.00046874998952262104,6.83593752910383e-05,0.020546874031424522,0.0005136282998137176,-0.15473690629005432,4.169106250628829e-05,-0.9879554510116577,0.0,0.0,0.0,0.0,0.0,-0.0
1785517664735441200,245818405,-0.00046874998952262104,6.83593752910383e-05,0.020546874031424522,0.0005136282998137176,-0.15473690629005432,4.169106250628829e-05,-0.9879554510116577,0.0,0.0,0.0,0.0,0.0,-0.0
1785517664749429500,245862701,-0.00046874998952262104,6.83593752910383e-05,0.020546874031424522,0.0005136282998137176,-0.15473690629005432,4.169106250628829e-05,-0.9879554510116577,0.0,0.0,0.0,0.0,0.0,-0.0
1785517664763232600,245862987,-0.00046874998952262104,6.83593752910383e-05,0.020546874031424522,0.0005136282998137176,-0.15473690629005432,4.169106250628829e-05,-0.9879554510116577,0.0,0.0,0.0,0.0,0.0,-0.0
1785517664777489500,245862987,-0.00046874998952262104,6.83593752910383e-05,0.020546874031424522,0.0005136282998137176,-0.15473690629005432,4.169106250628829e-05,-0.9879554510116577,0.0,0.0,0.0,0.0,0.0,-0.0
1785517664799618600,245912058,-0.00046874998952262104,6.83593752910383e-05,0.020546874031424522,0.0005136282998137176,-0.15473690629005432,4.169106250628829e-05,-0.9879554510116577,0.0,0.0,0.0,0.0,0.0,-0.0
1785517664817075000,245919700,-0.00046874998952262104,6.83593752910383e-05,0.020546874031424522,0.0005136282998137176,-0.15473690629005432,4.169106250628829e-05,-0.9879554510116577,0.0,0.0,0.0,0.0,0.0,-0.0
1785517664832129500,245919700,-0.00046874998952262104,6.83593752910383e-05,0.020546874031424522,0.0005136282998137176,-0.15473690629005432,4.169106250628829e-05,-0.9879554510116577,0.0,0.0,0.0,0.0,0.0,-0.0
1785517664845894800,245919700,-0.00046874998952262104,6.83593752910383e-05,0.020546874031424522,0.0005136282998137176,-0.15473690629005432,4.169106250628829e-05,-0.9879554510116577,0.0,0.0,0.0,0.0,0.0,-0.0
1785517664859738400,245970883,-0.00046874998952262104,6.83593752910383e-05,0.020546874031424522,0.0005136282998137176,-0.15473690629005432,4.169106250628829e-05,-0.9879554510116577,0.0,0.0,0.0,0.0,0.0,-0.0
1785517664876008300,245970883,-0.00046874998952262104,6.83593752910383e-05,0.020546874031424522,0.0005136282998137176,-0.15473690629005432,4.169106250628829e-05,-0.9879554510116577,0.0,0.0,0.0,0.0,0.0,-0.0
1785517664897098300,245970883,-0.00046874998952262104,6.83593752910383e-05,0.020546874031424522,0.0005136282998137176,-0.15473690629005432,4.169106250628829e-05,-0.9879554510116577,0.0,0.0,0.0,0.0,0.0,-0.0
1785517664915387100,245970883,-0.00046874998952262104,6.83593752910383e-05,0.020546874031424522,0.0005136282998137176,-0.15473690629005432,4.169106250628829e-05,-0.9879554510116577,0.0,0.0,0.0,0.0,0.0,-0.0
1785517664931620500,246034299,-0.00046874998952262104,6.83593752910383e-05,0.020546874031424522,0.0005136282998137176,-0.15473690629005432,4.169106250628829e-05,-0.9879554510116577,0.0,0.0,0.0,0.0,0.0,-0.0
1785517664952272300,246034299,-0.00046874998952262104,6.83593752910383e-05,0.020546874031424522,0.0005136282998137176,-0.15473690629005432,4.169106250628829e-05,-0.9879554510116577,0.0,0.0,0.0,0.0,0.0,-0.0
1785517664967261800,246034299,-0.00046874998952262104,6.83593752910383e-05,0.020546874031424522,0.0005136282998137176,-0.15473690629005432,4.169106250628829e-05,-0.9879554510116577,0.0,0.0,0.0,0.0,0.0,-0.0
1785517664984457200,246034299,-0.00046874998952262104,6.83593752910383e-05,0.020546874031424522,0.0005136282998137176,-0.15473690629005432,4.169106250628829e-05,-0.9879554510116577,0.0,0.0,0.0,0.0,0.0,-0.0
1785517664998595400,246034299,-0.00046874998952262104,6.83593752910383e-05,0.020546874031424522,0.0005136282998137176,-0.15473690629005432,4.169106250628829e-05,-0.9879554510116577,0.0,0.0,0.0,0.0,0.0,-0.0
1785517665013369300,246034299,-0.00046874998952262104,6.83593752910383e-05,0.020546874031424522,0.0005136282998137176,-0.15473690629005432,4.169106250628829e-05,-0.9879554510116577,0.0,0.0,0.0,0.0,0.0,-0.0
1785517665026882000,246132329,-0.00046874998952262104,6.83593752910383e-05,0.020546874031424522,0.0005136282998137176,-0.15473690629005432,4.169106250628829e-05,-0.9879554510116577,0.0,0.0,0.0,0.0,0.0,-0.0
1785517665040717600,246132329,-0.00046874998952262104,6.83593752910383e-05,0.020546874031424522,0.0005136282998137176,-0.15473690629005432,4.169106250628829e-05,-0.9879554510116577,0.0,0.0,0.0,0.0,0.0,-0.0
1785517665054806500,246132329,-0.00046874998952262104,6.83593752910383e-05,0.020546874031424522,0.0005136282998137176,-0.15473690629005432,4.169106250628829e-05,-0.9879554510116577,0.0,0.0,0.0,0.0,0.0,-0.0
