t_wall_ns,time_usec,xacc,yacc,zacc,xgyro,ygyro,zgyro,abs_pressure,pressure_alt,temperature
1785544468216462300,19485559,-2.9991025924682617,0.0018755568889901042,-9.340314865112305,0.0,0.0,-0.0,nan,nan,nan
1785544468217463400,19499246,-2.9991025924682617,0.0018755568889901042,-9.340314865112305,0.0,0.0,-0.0,nan,nan,nan
1785544468217463400,19518312,-2.9991025924682617,0.0018755568889901042,-9.340314865112305,0.0,0.0,-0.0,nan,nan,nan
1785544468218462100,19532582,-2.9991025924682617,0.0018755568889901042,-9.340314865112305,0.0,0.0,-0.0,nan,nan,nan
1785544468218462100,19551622,-2.9991025924682617,0.0018755568889901042,-9.340314865112305,0.0,0.0,-0.0,nan,nan,nan
1785544468219462300,19565942,-2.9991025924682617,0.0018755568889901042,-9.340314865112305,0.0,0.0,-0.0,nan,nan,nan
1785544468231532600,19585606,-2.9991025924682617,0.0018755568889901042,-9.340314865112305,0.0,0.0,-0.0,nan,nan,nan
1785544468238098100,19599268,-2.9991025924682617,0.0018755568889901042,-9.340314865112305,0.0,0.0,-0.0,nan,nan,nan
1785544468263744800,19618442,-2.9991025924682617,0.0018755568889901042,-9.340314865112305,0.0,0.0,-0.0,nan,nan,nan
1785544468272830300,19632608,-2.9991025924682617,0.0018755568889901042,-9.340314865112305,0.0,0.0,-0.0,nan,nan,nan
1785544468298321100,19652299,-2.9991025924682617,0.0018755568889901042,-9.340314865112305,0.0,0.0,-0.0,nan,nan,nan
1785544468306752400,19666126,-2.9991025924682617,0.0018755568889901042,-9.340314865112305,0.0,0.0,-0.0,nan,nan,nan
1785544468324209300,19685161,-2.9991025924682617,0.0018755568889901042,-9.340314865112305,0.0,0.0,-0.0,nan,nan,nan
1785544468343076600,19699487,-2.9991025924682617,0.0018755568889901042,-9.340314865112305,0.0,0.0,-0.0,nan,nan,nan
1785544468359590200,19718461,-2.9991025924682617,0.0018755568889901042,-9.340314865112305,0.0,0.0,-0.0,nan,nan,nan
1785544468376977400,19732590,-2.9991025924682617,0.0018755568889901042,-9.340314865112305,0.0,0.0,-0.0,nan,nan,nan
1785544468393312000,19751687,-2.9991025924682617,0.0018755568889901042,-9.340314865112305,0.0,0.0,-0.0,nan,nan,nan
1785544468411880700,19765905,-2.9991025924682617,0.0018755568889901042,-9.340314865112305,0.0,0.0,-0.0,nan,nan,nan
