t_wall_ns,time_boot_ms,roll,pitch,yaw,rollspeed,pitchspeed,yawspeed
1785544468216462300,19465,-0.0002008023002417758,0.3106933534145355,3.140754222869873,0.0,0.0,-0.0
1785544468216462300,19485,-0.0002008023002417758,0.3106933534145355,3.140754222869873,0.0,0.0,-0.0
1785544468217463400,19499,-0.0002008023002417758,0.3106933534145355,3.140754222869873,0.0,0.0,-0.0
1785544468217463400,19499,-0.0002008023002417758,0.3106933534145355,3.140754222869873,0.0,0.0,-0.0
1785544468217463400,19499,-0.0002008023002417758,0.3106933534145355,3.140754222869873,0.0,0.0,-0.0
1785544468217463400,19518,-0.0002008023002417758,0.3106933534145355,3.140754222869873,0.0,0.0,-0.0
1785544468218462100,19532,-0.0002008023002417758,0.3106933534145355,3.140754222869873,0.0,0.0,-0.0
1785544468218462100,19532,-0.0002008023002417758,0.3106933534145355,3.140754222869873,0.0,0.0,-0.0
1785544468218462100,19532,-0.0002008023002417758,0.3106933534145355,3.140754222869873,0.0,0.0,-0.0
1785544468218462100,19551,-0.0002008023002417758,0.3106933534145355,3.140754222869873,0.0,0.0,-0.0
1785544468219462300,19565,-0.0002008023002417758,0.3106933534145355,3.140754222869873,0.0,0.0,-0.0
1785544468219462300,19565,-0.0002008023002417758,0.3106933534145355,3.140754222869873,0.0,0.0,-0.0
1785544468222968500,19565,-0.0002008023002417758,0.3106933534145355,3.140754222869873,0.0,0.0,-0.0
1785544468231532600,19585,-0.0002008023002417758,0.3106933534145355,3.140754222869873,0.0,0.0,-0.0
1785544468239812200,19599,-0.0002008023002417758,0.3106933534145355,3.140754222869873,0.0,0.0,-0.0
1785544468249321300,19599,-0.0002008023002417758,0.3106933534145355,3.140754222869873,0.0,0.0,-0.0
1785544468260564200,19618,-0.0002008023002417758,0.3106933534145355,3.140754222869873,0.0,0.0,-0.0
1785544468268640400,19618,-0.0002008023002417758,0.3106933534145355,3.140754222869873,0.0,0.0,-0.0
1785544468277413800,19632,-0.0002008023002417758,0.3106933534145355,3.140754222869873,0.0,0.0,-0.0
1785544468285189100,19632,-0.0002008023002417758,0.3106933534145355,3.140754222869873,0.0,0.0,-0.0
1785544468293518300,19652,-0.0002008023002417758,0.3106933534145355,3.140754222869873,0.0,0.0,-0.0
1785544468301792600,19652,-0.0002008023002417758,0.3106933534145355,3.140754222869873,0.0,0.0,-0.0
1785544468311177100,19666,-0.0002008023002417758,0.3106933534145355,3.140754222869873,0.0,0.0,-0.0
1785544468319537100,19666,-0.0002008023002417758,0.3106933534145355,3.140754222869873,0.0,0.0,-0.0
1785544468327651500,19685,-0.0002008023002417758,0.3106933534145355,3.140754222869873,0.0,0.0,-0.0
1785544468336676200,19685,-0.0002008023002417758,0.3106933534145355,3.140754222869873,0.0,0.0,-0.0
1785544468346398800,19699,-0.0002008023002417758,0.3106933534145355,3.140754222869873,0.0,0.0,-0.0
1785544468353080100,19699,-0.0002008023002417758,0.3106933534145355,3.140754222869873,0.0,0.0,-0.0
1785544468361594200,19718,-0.0002008023002417758,0.3106933534145355,3.140754222869873,0.0,0.0,-0.0
1785544468373635900,19732,-0.0002008023002417758,0.3106933534145355,3.140754222869873,0.0,0.0,-0.0
1785544468380495700,19732,-0.0002008023002417758,0.3106933534145355,3.140754222869873,0.0,0.0,-0.0
1785544468388558100,19732,-0.0002008023002417758,0.3106933534145355,3.140754222869873,0.0,0.0,-0.0
1785544468398042800,19751,-0.0002008023002417758,0.3106933534145355,3.140754222869873,0.0,0.0,-0.0
1785544468406827200,19765,-0.0002008023002417758,0.3106933534145355,3.140754222869873,0.0,0.0,-0.0
1785544468416638200,19765,-0.0002008023002417758,0.3106933534145355,3.140754222869873,0.0,0.0,-0.0
1785544468424622200,19785,-0.0002008023002417758,0.3106933534145355,3.140754222869873,0.0,0.0,-0.0
1785544468432785300,19785,-0.0002008023002417758,0.3106933534145355,3.140754222869873,0.0,0.0,-0.0
1785544468440934800,19799,-0.0002008023002417758,0.3106933534145355,3.140754222869873,0.0,0.0,-0.0
1785544468450152700,19799,-0.0002008023002417758,0.3106933534145355,3.140754222869873,0.0,0.0,-0.0
1785544468458776600,19818,-0.0002008023002417758,0.3106933534145355,3.140754222869873,0.0,0.0,-0.0
1785544468467969500,19818,-0.0002008023002417758,0.3106933534145355,3.140754222869873,0.0,0.0,-0.0
1785544468476124800,19832,-0.0002008023002417758,0.3106933534145355,3.140754222869873,0.0,0.0,-0.0
1785544468484740600,19832,-0.0002008023002417758,0.3106933534145355,3.140754222869873,0.0,0.0,-0.0
1785544468495896300,19851,-0.0002008023002417758,0.3106933534145355,3.140754222869873,0.0,0.0,-0.0
1785544468503336200,19851,-0.0002008023002417758,0.3106933534145355,3.140754222869873,0.0,0.0,-0.0
1785544468514550900,19865,-0.0002008023002417758,0.3106933534145355,3.140754222869873,0.0,0.0,-0.0
1785544468521377200,19865,-0.0002008023002417758,0.3106933534145355,3.140754222869873,0.0,0.0,-0.0
1785544468532453000,19884,-0.0002008023002417758,0.3106933534145355,3.140754222869873,0.0,0.0,-0.0
1785544468540483000,19899,-0.0002008023002417758,0.3106933534145355,3.140754222869873,0.0,0.0,-0.0
1785544468548652200,19899,-0.0002008023002417758,0.3106933534145355,3.140754222869873,0.0,0.0,-0.0
1785544468559763900,19918,-0.0002008023002417758,0.3106933534145355,3.140754222869873,0.0,0.0,-0.0
1785544468567518200,19918,-0.0002008023002417758,0.3106933534145355,3.140754222869873,0.0,0.0,-0.0
1785544468577285300,19932,-0.0002008023002417758,0.3106933534145355,3.140754222869873,0.0,0.0,-0.0
1785544468585203800,19932,-0.0002008023002417758,0.3106933534145355,3.140754222869873,0.0,0.0,-0.0
1785544468596268700,19951,-0.0002008023002417758,0.3106933534145355,3.140754222869873,0.0,0.0,-0.0
1785544468603242400,19951,-0.0002008023002417758,0.3106933534145355,3.140754222869873,0.0,0.0,-0.0
1785544468612895200,19966,-0.0002008023002417758,0.3106933534145355,3.140754222869873,0.0,0.0,-0.0
1785544468619404000,19966,-0.0002008023002417758,0.3106933534145355,3.140754222869873,0.0,0.0,-0.0
1785544468627849600,19985,-0.0002008023002417758,0.3106933534145355,3.140754222869873,0.0,0.0,-0.0
1785544468637436500,19999,-0.0002008023002417758,0.3106933534145355,3.140754222869873,0.0,0.0,-0.0
1785544468648030300,19999,-0.0002008023002417758,0.3106933534145355,3.140754222869873,0.0,0.0,-0.0
1785544468657388500,19999,-0.0002008023002417758,0.3106933534145355,3.140754222869873,0.0,0.0,-0.0
1785544468665382500,20018,-0.0002008023002417758,0.3106933534145355,3.140754222869873,0.0,0.0,-0.0
1785544468675016700,20032,-0.0002008023002417758,0.3106933534145355,3.140754222869873,0.0,0.0,-0.0
1785544468684739900,20032,-0.0002008023002417758,0.3106933534145355,3.140754222869873,0.0,0.0,-0.0
1785544468692639600,20052,-0.0002008023002417758,0.3106933534145355,3.140754222869873,0.0,0.0,-0.0
1785544468700748900,20052,-0.0002008023002417758,0.3106933534145355,3.140754222869873,0.0,0.0,-0.0
1785544468709312800,20065,-0.0002008023002417758,0.3106933534145355,3.140754222869873,0.0,0.0,-0.0
1785544468720158600,20065,-0.0002008023002417758,0.3106933534145355,3.140754222869873,0.0,0.0,-0.0
1785544468728156400,20084,-0.0002008023002417758,0.3106933534145355,3.140754222869873,0.0,0.0,-0.0
1785544468737758900,20099,-0.0002008023002417758,0.3106933534145355,3.140754222869873,0.0,0.0,-0.0
1785544468747960100,20099,-0.0002008023002417758,0.3106933534145355,3.140754222869873,0.0,0.0,-0.0
1785544468755865700,20099,-0.0002008023002417758,0.3106933534145355,3.140754222869873,0.0,0.0,-0.0
1785544468763608800,20118,-0.0002008023002417758,0.3106933534145355,3.140754222869873,0.0,0.0,-0.0
1785544468773193800,20132,-0.0002008023002417758,0.3106933534145355,3.140754222869873,0.0,0.0,-0.0
1785544468782704900,20132,-0.0002008023002417758,0.3106933534145355,3.140754222869873,0.0,0.0,-0.0
1785544468790716500,20151,-0.0002008023002417758,0.3106933534145355,3.140754222869873,0.0,0.0,-0.0
1785544468800202700,20151,-0.0002008023002417758,0.3106933534145355,3.140754222869873,0.0,0.0,-0.0
1785544468808247000,20165,-0.0002008023002417758,0.3106933534145355,3.140754222869873,0.0,0.0,-0.0
1785544468817904000,20165,-0.0002008023002417758,0.3106933534145355,3.140754222869873,0.0,0.0,-0.0
1785544468824823900,20185,-0.0002008023002417758,0.3106933534145355,3.140754222869873,0.0,0.0,-0.0
1785544468833574400,20185,-0.0002008023002417758,0.3106933534145355,3.140754222869873,0.0,0.0,-0.0
1785544468841665000,20199,-0.0002008023002417758,0.3106933534145355,3.140754222869873,0.0,0.0,-0.0
1785544468850064900,20199,-0.0002008023002417758,0.3106933534145355,3.140754222869873,0.0,0.0,-0.0
1785544468859532800,20218,-0.0002008023002417758,0.3106933534145355,3.140754222869873,0.0,0.0,-0.0
1785544468868192200,20218,-0.0002008023002417758,0.3106933534145355,3.140754222869873,0.0,0.0,-0.0
1785544468877691700,20232,-0.0002008023002417758,0.3106933534145355,3.140754222869873,0.0,0.0,-0.0
1785544468887832500,20232,-0.0002008023002417758,0.3106933534145355,3.140754222869873,0.0,0.0,-0.0
1785544468897077200,20251,-0.0002008023002417758,0.3106933534145355,3.140754222869873,0.0,0.0,-0.0
1785544468904897800,20265,-0.0002008023002417758,0.3106933534145355,3.140754222869873,0.0,0.0,-0.0
1785544468914503900,20265,-0.0002008023002417758,0.3106933534145355,3.140754222869873,0.0,0.0,-0.0
1785544468922824800,20265,-0.0002008023002417758,0.3106933534145355,3.140754222869873,0.0,0.0,-0.0
1785544468930878300,20285,-0.0002008023002417758,0.3106933534145355,3.140754222869873,0.0,0.0,-0.0
1785544468940433800,20299,-0.0002008023002417758,0.3106933534145355,3.140754222869873,0.0,0.0,-0.0
1785544468951579900,20299,-0.0002008023002417758,0.3106933534145355,3.140754222869873,0.0,0.0,-0.0
1785544468959591800,20318,-0.0002008023002417758,0.3106933534145355,3.140754222869873,0.0,0.0,-0.0
1785544468968125100,20318,-0.0002008023002417758,0.3106933534145355,3.140754222869873,0.0,0.0,-0.0
1785544468977680600,20332,-0.0002008023002417758,0.3106933534145355,3.140754222869873,0.0,0.0,-0.0
