step,update,sps,ep_return,ep_len,gates,collision_rate,completion_rate,difficulty,speed_cap,time_penalty,policy_loss,value_loss,entropy,approx_kl,clip_frac,explained_var,reward_scale
2686976,41,13964.5,1.747,102.3,1.59,0.992,0.0,0.0,0.5,0,-0.0037,0.03468,2.5214,0.0037,0.0376,0.9276,4.4428
2752512,42,12850.2,2.119,160.3,1.61,0.932,0.0,0.0,0.5,0,-0.00394,0.03068,2.5163,0.00444,0.0485,0.9627,4.4585
2818048,43,11909.7,-1.93,229.7,2.12,0.869,0.0,0.0,0.5,0,-0.00453,0.03537,2.5124,0.00403,0.0423,0.9553,4.4741
2883584,44,7929.6,-1.594,240.0,2.23,0.847,0.0,0.0,0.5,0,-0.00436,0.03277,2.5073,0.00406,0.0438,0.9592,4.4855
2949120,45,12071.0,-0.261,231.0,1.66,0.897,0.0,0.0,0.5,0,-0.00448,0.03206,2.503,0.0044,0.0479,0.9588,4.4986
3014656,46,12288.1,-1.888,243.2,1.82,0.861,0.0,0.0,0.5,0,-0.00456,0.03116,2.4979,0.00381,0.0405,0.9569,4.5141
3080192,47,10509.8,-0.722,244.3,2.16,0.897,0.0,0.0,0.5,0,-0.00481,0.03387,2.4936,0.00477,0.0559,0.9536,4.5234
3145728,48,11569.6,-0.829,250.0,1.56,0.85,0.0,0.0,0.5,0,-0.00384,0.03682,2.4901,0.00411,0.0437,0.9456,4.5324
3211264,49,10821.4,-0.639,237.2,2.2,0.852,0.0,0.0,0.5,0,-0.00427,0.03488,2.4865,0.00422,0.0451,0.9466,4.5404
3276800,50,11119.2,-0.707,255.0,1.59,0.866,0.0,0.0,0.5,0,-0.00406,0.03817,2.4818,0.00382,0.0386,0.9432,4.5477
3342336,51,10676.9,0.935,252.4,1.79,0.892,0.0,0.0,0.5,0,-0.00413,0.03938,2.4753,0.00366,0.0356,0.9421,4.5566
3407872,52,9276.1,0.928,249.7,2.29,0.852,0.0,0.0,0.5,0,-0.00428,0.04019,2.4713,0.00438,0.0484,0.9447,4.5654
3473408,53,10035.3,2.367,239.0,2.27,0.875,0.0,0.0,0.5,0,-0.00444,0.03483,2.4662,0.00471,0.0529,0.9509,4.5716
3538944,54,8534.0,0.44,232.6,2.09,0.85,0.0,0.0,0.5,0,-0.0044,0.03853,2.4598,0.00378,0.0376,0.942,4.5767
3604480,55,10794.3,0.944,243.1,2.04,0.9,0.0,0.0,0.5,0,-0.00406,0.04218,2.4554,0.00424,0.0455,0.9375,4.5831
3670016,56,10630.0,1.698,228.1,2.35,0.887,0.0,0.0,0.5,0,-0.00458,0.03504,2.4489,0.0043,0.0469,0.9475,4.5896
3735552,57,10430.9,1.104,242.7,1.95,0.891,0.0,0.0,0.5,0,-0.00406,0.03153,2.4419,0.00405,0.0428,0.9504,4.5933
3801088,58,9564.9,0.482,246.9,2.02,0.908,0.0,0.0,0.5,0,-0.00398,0.03824,2.4371,0.00386,0.0388,0.9423,4.5983
3866624,59,10809.0,2.935,225.0,1.96,0.912,0.0,0.0,0.5,0,-0.00468,0.03108,2.4301,0.00346,0.0324,0.9521,4.6011
3932160,60,8948.4,1.433,247.8,1.85,0.877,0.0,0.0,0.5,0,-0.00419,0.03627,2.4239,0.00411,0.0443,0.9465,4.6052
3997696,61,9456.7,2.177,230.5,2.08,0.905,0.0,0.0,0.5,0,-0.00429,0.03912,2.4171,0.00402,0.0425,0.9379,4.612
4063232,62,10517.3,1.407,247.8,2.28,0.914,0.0,0.0,0.5,0,-0.00416,0.0359,2.4125,0.00428,0.0465,0.9393,4.6143
4128768,63,6913.7,1.046,236.9,1.77,0.875,0.0,0.0,0.5,0,-0.00458,0.03752,2.4134,0.00385,0.0393,0.9389,4.6171
4194304,64,7846.6,0.785,229.9,2.08,0.93,0.0,0.0,0.5,0,-0.00425,0.03485,2.4119,0.00406,0.0414,0.9412,4.6175
4259840,65,13331.7,2.111,224.3,1.86,0.931,0.0,0.0,0.5,0,-0.0045,0.03529,2.4063,0.00443,0.0483,0.9416,4.6185
4325376,66,11594.5,0.867,231.9,1.8,0.921,0.0,0.0,0.5,0,-0.00454,0.036,2.3976,0.00352,0.0344,0.9421,4.6205
4390912,67,12076.9,1.034,233.2,2.13,0.918,0.0,0.0,0.5,0,-0.00367,0.04396,2.3909,0.00409,0.0434,0.9319,4.6232
4456448,68,13829.7,0.88,212.0,1.41,0.945,0.0,0.0,0.5,0,-0.00392,0.03374,2.3877,0.00419,0.0444,0.9481,4.6296
4521984,69,10263.6,1.39,219.4,2.11,0.906,0.0,0.0,0.5,0,-0.00433,0.03805,2.3851,0.00407,0.0422,0.9417,4.6343
4587520,70,10370.5,0.983,223.5,1.99,0.912,0.0,0.0,0.5,0,-0.00425,0.03732,2.3845,0.0042,0.0448,0.9438,4.6395
4653056,71,9360.9,2.759,227.5,1.91,0.934,0.0,0.0,0.5,0,-0.0043,0.04597,2.3798,0.00417,0.0433,0.9247,4.645
4718592,72,11588.1,2.272,222.8,1.73,0.927,0.0,0.0,0.5,0,-0.00371,0.04182,2.3733,0.00395,0.0426,0.9335,4.6502
4784128,73,9415.6,2.253,222.9,1.97,0.926,0.0,0.0,0.5,0,-0.00447,0.03843,2.3694,0.00367,0.0375,0.9366,4.6548
4849664,74,9868.9,3.134,228.1,2.07,0.945,0.0,0.0,0.5,0,-0.00482,0.03366,2.3673,0.0038,0.0394,0.9482,4.6563
4915200,75,9159.4,1.854,208.3,1.99,0.927,0.0,0.0,0.5,0,-0.00432,0.03694,2.3628,0.00483,0.0553,0.9452,4.6591
4980736,76,8328.0,2.014,214.1,2.58,0.919,0.0,0.0,0.5,0,-0.00478,0.03676,2.3592,0.00459,0.0508,0.942,4.662
5046272,77,9802.4,1.989,226.6,2.57,0.942,0.0,0.0,0.5,0,-0.00478,0.03758,2.3522,0.00434,0.048,0.9399,4.6655
