t_wall_ns,time_usec,x,y,z,qw,qx,qy,qz,vx,vy,vz,rollspeed,pitchspeed,yawspeed
1785518819308645500,104279006,-0.00046874998952262104,6.83593752910383e-05,0.020546874031424522,0.0005141316796652973,-0.15473690629005432,4.177785012871027e-05,-0.9879555106163025,0.0,0.0,0.0,0.0,0.0,-0.0
1785518819321814800,104313668,-0.00046874998952262104,6.83593752910383e-05,0.020546874031424522,0.0005141316796652973,-0.15473690629005432,4.177785012871027e-05,-0.9879555106163025,0.0,0.0,0.0,0.0,0.0,-0.0
1785518819337404100,104313668,-0.00046874998952262104,6.83593752910383e-05,0.020546874031424522,0.0005141316796652973,-0.15473690629005432,4.177785012871027e-05,-0.9879555106163025,0.0,0.0,0.0,0.0,0.0,-0.0
1785518819349713200,104313668,-0.00046874998952262104,6.83593752910383e-05,0.020546874031424522,0.0005141316796652973,-0.15473690629005432,4.177785012871027e-05,-0.9879555106163025,0.0,0.0,0.0,0.0,0.0,-0.0
1785518819364896900,104357998,-0.00046874998952262104,6.83593752910383e-05,0.020546874031424522,0.0005141316796652973,-0.15473690629005432,4.177785012871027e-05,-0.9879555106163025,0.0,0.0,0.0,0.0,0.0,-0.0
1785518819378043300,104357998,-0.00046874998952262104,6.83593752910383e-05,0.020546874031424522,0.0005141316796652973,-0.15473690629005432,4.177785012871027e-05,-0.9879555106163025,0.0,0.0,0.0,0.0,0.0,-0.0
1785518819390616000,104385329,-0.00046874998952262104,6.83593752910383e-05,0.020546874031424522,0.0005141316796652973,-0.15473690629005432,4.177785012871027e-05,-0.9879555106163025,0.0,0.0,0.0,0.0,0.0,-0.0
1785518819404325600,104385329,-0.00046874998952262104,6.83593752910383e-05,0.020546874031424522,0.0005141316796652973,-0.15473690629005432,4.177785012871027e-05,-0.9879555106163025,0.0,0.0,0.0,0.0,0.0,-0.0
1785518819418333500,104385329,-0.00046874998952262104,6.83593752910383e-05,0.020546874031424522,0.0005141316796652973,-0.15473690629005432,4.177785012871027e-05,-0.9879555106163025,0.0,0.0,0.0,0.0,0.0,-0.0
1785518819431590800,104413716,-0.00046874998952262104,6.83593752910383e-05,0.020546874031424522,0.0005141316796652973,-0.15473690629005432,4.177785012871027e-05,-0.9879555106163025,0.0,0.0,0.0,0.0,0.0,-0.0
1785518819446129800,104413716,-0.00046874998952262104,6.83593752910383e-05,0.020546874031424522,0.0005141316796652973,-0.15473690629005432,4.177785012871027e-05,-0.9879555106163025,0.0,0.0,0.0,0.0,0.0,-0.0
1785518819460258600,104449407,-0.00046874998952262104,6.83593752910383e-05,0.020546874031424522,0.0005141316796652973,-0.15473690629005432,4.177785012871027e-05,-0.9879555106163025,0.0,0.0,0.0,0.0,0.0,-0.0
1785518819476770800,104449407,-0.00046874998952262104,6.83593752910383e-05,0.020546874031424522,0.0005141316796652973,-0.15473690629005432,4.177785012871027e-05,-0.9879555106163025,0.0,0.0,0.0,0.0,0.0,-0.0
1785518819490460700,104449407,-0.00046874998952262104,6.83593752910383e-05,0.020546874031424522,0.0005141316796652973,-0.15473690629005432,4.177785012871027e-05,-0.9879555106163025,0.0,0.0,0.0,0.0,0.0,-0.0
1785518819502623200,104494255,-0.00046874998952262104,6.83593752910383e-05,0.020546874031424522,0.0005141316796652973,-0.15473690629005432,4.177785012871027e-05,-0.9879555106163025,0.0,0.0,0.0,0.0,0.0,-0.0
1785518819517646600,104494255,-0.00046874998952262104,6.83593752910383e-05,0.020546874031424522,0.0005141316796652973,-0.15473690629005432,4.177785012871027e-05,-0.9879555106163025,0.0,0.0,0.0,0.0,0.0,-0.0
1785518819530981300,104523147,-0.00046874998952262104,6.83593752910383e-05,0.020546874031424522,0.0005141316796652973,-0.15473690629005432,4.177785012871027e-05,-0.9879555106163025,0.0,0.0,0.0,0.0,0.0,-0.0
1785518819544595300,104523147,-0.00046874998952262104,6.83593752910383e-05,0.020546874031424522,0.0005141316796652973,-0.15473690629005432,4.177785012871027e-05,-0.9879555106163025,0.0,0.0,0.0,0.0,0.0,-0.0
1785518819560452700,104523147,-0.00046874998952262104,6.83593752910383e-05,0.020546874031424522,0.0005141316796652973,-0.15473690629005432,4.177785012871027e-05,-0.9879555106163025,0.0,0.0,0.0,0.0,0.0,-0.0
1785518819574083700,104556148,-0.00046874998952262104,6.83593752910383e-05,0.020546874031424522,0.0005141316796652973,-0.15473690629005432,4.177785012871027e-05,-0.9879555106163025,0.0,0.0,0.0,0.0,0.0,-0.0
1785518819587494600,104556148,-0.00046874998952262104,6.83593752910383e-05,0.020546874031424522,0.0005141316796652973,-0.15473690629005432,4.177785012871027e-05,-0.9879555106163025,0.0,0.0,0.0,0.0,0.0,-0.0
