t_wall_ns,what,threat_level,impulse,episode
1785518822481378800,environment,1,0.010364851914346218,1
1785518822481512300,environment,1,0.010309257544577122,1
1785518822481604400,environment,1,0.01012540701776743,1
1785518822481692800,environment,1,0.009518506936728954,1
1785518822481775500,environment,1,0.010290644131600857,1
1785518822481860800,environment,1,0.010324614122509956,1
1785518822481941400,environment,1,0.010101641528308392,1
1785518822482017900,environment,1,0.00952574796974659,1
1785518822488590500,environment,1,0.01063058152794838,1
1785518822488727000,environment,1,0.010729165747761726,1
1785518822532171200,environment,1,0.010854274034500122,1
1785518822532474400,environment,1,0.010334036312997341,1
1785518822532648700,environment,1,0.012255272828042507,1
1785518822532740700,environment,1,0.009552817791700363,1
1785518822532833000,environment,1,0.010598831810057163,1
1785518822532908700,environment,1,0.010494830086827278,1
1785518822532985100,environment,1,0.013665665872395039,1
1785518822533056000,environment,1,0.008243381977081299,1
1785518822533126500,environment,1,0.008434697054326534,1
1785518822533211100,environment,1,0.012803860940039158,1
1785518822533281800,environment,1,0.01361460518091917,1
1785518822533618100,environment,1,0.008221949450671673,1
1785518822557139700,environment,1,0.007834292948246002,1
1785518822557361700,environment,1,0.01181352324783802,1
1785518822557834400,environment,1,0.012263384647667408,1
1785518822557998800,environment,1,0.007353803142905235,1
1785518822558149100,environment,1,0.008225859142839909,1
1785518822558310600,environment,1,0.01240032073110342,1
1785518822558440200,environment,1,0.011428958736360073,1
1785518822558564500,environment,1,0.008711793459951878,1
1785518822584956100,environment,1,0.010600743815302849,1
1785518822585060500,environment,1,0.009510322473943233,1
1785518822585156700,environment,1,0.011846334673464298,1
1785518822585255300,environment,1,0.009189650416374207,1
1785518822585334600,environment,1,0.00787560548633337,1
1785518822585411300,environment,1,0.011585150845348835,1
1785518822585486100,environment,1,0.01227911002933979,1
1785518822585558900,environment,1,0.009086561389267445,1
1785518822612551800,environment,1,0.007868760265409946,1
1785518822612928700,environment,1,0.013186676427721977,1
1785518822613147500,environment,1,0.01182927843183279,1
1785518822613272300,environment,1,0.008628173731267452,1
1785518822613553900,environment,1,0.011628266423940659,1
1785518822613637800,environment,1,0.008508475497364998,1
1785518822613718000,environment,1,0.012212274596095085,1
1785518822613790100,environment,1,0.00882329698652029,1
1785518822618835500,environment,1,0.01162008661776781,1
1785518822618906200,environment,1,0.008562510833144188,1
1785518822664184100,environment,1,0.012383867055177689,1
1785518822664575900,environment,1,0.009054029360413551,1
1785518822664819900,environment,1,0.012892101891338825,1
1785518822664931700,environment,1,0.009362001903355122,1
1785518822665131200,environment,1,0.012202862650156021,1
1785518822665253500,environment,1,0.008983142673969269,1
1785518822665353500,environment,1,0.012094371020793915,1
1785518822665438500,environment,1,0.008859529159963131,1
1785518822665516600,environment,1,0.01266100537031889,1
1785518822665592000,environment,1,0.009225022047758102,1
1785518822665661800,environment,1,0.012136503122746944,1
1785518822665743500,environment,1,0.008929467760026455,1
1785518822691474200,environment,1,0.011323108337819576,1
1785518822691541400,environment,1,0.008308745920658112,1
1785518822691604700,environment,1,0.011378907598555088,1
1785518822691718700,environment,1,0.0082677798345685,1
1785518822691827800,environment,1,0.010907764546573162,1
1785518822692174400,environment,1,0.007970611564815044,1
1785518822692275300,environment,1,0.01068050879985094,1
1785518822692374400,environment,1,0.007840252481400967,1
1785518822720867300,environment,1,0.010141907259821892,1
1785518822720941600,environment,1,0.00745050236582756,1
1785518822721006900,environment,1,0.010001190938055515,1
1785518822721066400,environment,1,0.0073354109190404415,1
1785518822721127500,environment,1,0.009641731157898903,1
1785518822721441500,environment,1,0.007195685524493456,1
1785518822721516000,environment,1,0.007739892229437828,1
1785518822721585700,environment,1,0.008523148484528065,1
1785518822747690500,environment,1,0.00832814909517765,1
1785518822747820400,environment,1,0.006218584254384041,1
1785518822747903400,environment,1,0.008603268302977085,1
1785518822748006500,environment,1,0.00637586647644639,1
1785518822748312800,environment,1,0.007660985458642244,1
1785518822748423300,environment,1,0.0055746170692145824,1
1785518822748523400,environment,1,0.008085057139396667,1
1785518822748602400,environment,1,0.005939153954386711,1
1785518822753852000,environment,1,0.00732094282284379,1
1785518822754064700,environment,1,0.00536793377250433,1
1785518822796929000,environment,1,0.006670444272458553,1
1785518822797093900,environment,1,0.004880943801254034,1
1785518822797187300,environment,1,0.006155815441161394,1
1785518822797277700,environment,1,0.00450272299349308,1
1785518822797343000,environment,1,0.005490201525390148,1
1785518822797407000,environment,1,0.003999689593911171,1
1785518822797470300,environment,1,0.004677601158618927,1
