t_wall_ns,sim_boot_time_ms,race_start_boot_time_ms,race_finish_time_ns,active_gate_index,last_gate_race_time
1785517942372490400,199442,3233,-1,0,-1
1785517942619663100,199693,3233,-1,0,-1
1785517942870825000,199944,3233,-1,0,-1
1785517943121718000,200195,3233,-1,0,-1
1785517943372771300,200445,3233,-1,0,-1
1785517943623006000,200696,3233,-1,0,-1
1785517943875230200,200947,3233,-1,0,-1
1785517944107515700,9,-1,-1,0,-1
1785517944111665100,12,-1,-1,0,-1
1785517944111902900,12,-1,-1,0,-1
1785517944116863300,17,-1,-1,0,-1
1785517944124990000,27,-1,-1,0,-1
1785517944376726300,278,3227,-1,0,-1
1785517944627166700,529,3227,-1,0,-1
1785517944880940000,781,3227,-1,0,-1
1785517945132139800,1033,3227,-1,0,-1
1785517945382760200,1284,3227,-1,0,-1
1785517945640121100,1534,3227,-1,0,-1
1785517945885299300,1786,3227,-1,0,-1
1785517946137707900,2036,3227,-1,0,-1
1785517946387266800,2287,3227,-1,0,-1
1785517946636493300,2538,3227,-1,0,-1
1785517946888865100,2789,3227,-1,0,-1
1785517947138459300,3040,3227,-1,0,-1
1785517947389903900,3291,3227,-1,0,-1
1785517947640337700,3541,3227,-1,0,-1
1785517947891133900,3792,3227,-1,0,-1
1785517948142479800,4043,3227,-1,0,-1
1785517948392940100,4294,3227,-1,0,-1
1785517948643214700,4544,3227,-1,0,-1
1785517948893198500,4795,3227,-1,0,-1
1785517949143861600,5046,3227,-1,0,-1
1785517949395261400,5297,3227,-1,0,-1
1785517949646470800,5548,3227,-1,0,-1
1785517949911915500,5799,3227,-1,0,-1
1785517950148251500,6050,3227,-1,0,-1
1785517950401288300,6300,3227,-1,0,-1
1785517950650440900,6552,3227,-1,0,-1
1785517950902288500,6803,3227,-1,0,-1
1785517951152848900,7054,3227,-1,0,-1
1785517951403400600,7304,3227,-1,0,-1
1785517951654108500,7555,3227,-1,0,-1
1785517951906374800,7807,3227,-1,0,-1
1785517952156554100,8058,3227,-1,0,-1
1785517952408264600,8308,3227,-1,0,-1
1785517952659997600,8559,3227,-1,0,-1
1785517952910037100,8810,3227,-1,0,-1
1785517953159987900,9061,3227,-1,0,-1
1785517953409575900,9311,3227,-1,0,-1
1785517953661091000,9563,3227,-1,0,-1
1785517953913396500,9813,3227,-1,0,-1
1785517954161612200,10064,3227,-1,0,-1
1785517954414234600,10314,3227,-1,0,-1
1785517954665876400,10566,3227,-1,0,-1
1785517954914552400,10816,3227,-1,0,-1
1785517955166212600,11066,3227,-1,0,-1
1785517955416981600,11318,3227,-1,0,-1
1785517955666864600,11568,3227,-1,0,-1
1785517955921603500,11819,3227,-1,0,-1
1785517956170469200,12071,3227,-1,0,-1
1785517956422118100,12322,3227,-1,0,-1
1785517956671201200,12573,3227,-1,0,-1
1785517956922237800,12824,3227,-1,0,-1
1785517957173937000,13074,3227,-1,0,-1
1785517957423515700,13325,3227,-1,0,-1
1785517957674822500,13576,3227,-1,0,-1
1785517957927249900,13827,3227,-1,0,-1
1785517958181296700,14078,3227,-1,0,-1
1785517958428038400,14328,3227,-1,0,-1
1785517958677417700,14579,3227,-1,0,-1
1785517958929984800,14830,3227,-1,0,-1
1785517959181248300,15082,3227,-1,0,-1
1785517959435058200,15334,3227,-1,0,-1
1785517959684653100,15584,3227,-1,0,-1
1785517959938768500,15837,3227,-1,0,-1
1785517960187421800,16089,3227,-1,0,-1
1785517960222882100,10,-1,-1,0,-1
1785517960226823000,15,-1,-1,0,-1
1785517960230753700,17,-1,-1,0,-1
1785517960231197400,17,-1,-1,0,-1
1785517960439542600,248,-1,-1,0,-1
1785517960689865900,499,3289,-1,0,-1
1785517960940799800,750,3289,-1,0,-1
1785517961192439100,1001,3289,-1,0,-1
1785517961442296800,1252,3289,-1,0,-1
1785517961696853800,1502,3289,-1,0,-1
1785517961946119600,1753,3289,-1,0,-1
1785517962195109400,2004,3289,-1,0,-1
1785517962458586700,2254,3289,-1,0,-1
1785517962726758800,2505,3289,-1,0,-1
1785517962945882100,2756,3289,-1,0,-1
1785517963206994200,3007,3289,-1,0,-1
1785517963448485800,3258,3289,-1,0,-1
1785517963698209300,3509,3289,-1,0,-1
1785517963950419700,3759,3289,-1,0,-1
1785517964221995700,4010,3289,-1,0,-1
1785517964519812500,4261,3289,-1,0,-1
1785517964740677100,4512,3289,-1,0,-1
1785517965003099800,4763,3289,-1,0,-1
1785517965284357400,5014,3289,-1,0,-1
1785517965574232100,5266,3289,-1,0,-1
1785517965887316500,5517,3289,-1,0,-1
1785517966178399100,5768,3289,-1,0,-1
1785517966493212400,6018,3289,-1,0,-1
1785517966682432000,6269,3289,-1,0,-1
1785517966766460500,6521,3289,-1,0,-1
1785517966962555100,6771,3289,-1,0,-1
1785517967214089300,7022,3289,-1,0,-1
1785517967470077600,7272,3289,-1,0,-1
1785517967713223500,7523,3289,-1,0,-1
1785517967972418800,7774,3289,-1,0,-1
1785517968216667600,8026,3289,-1,0,-1
1785517968468404300,8277,3289,-1,0,-1
1785517968722095300,8528,3289,-1,0,-1
1785517968972196900,8779,3289,-1,0,-1
1785517969232192000,9030,3289,-1,0,-1
1785517969477089500,9280,3289,-1,0,-1
1785517969722952700,9531,3289,-1,0,-1
1785517969975073700,9782,3289,-1,0,-1
1785517970228097200,10033,3289,-1,0,-1
1785517970483316200,10284,3289,-1,0,-1
1785517970729721600,10535,3289,-1,0,-1
1785517970985785200,10786,3289,-1,0,-1
1785517971227397400,11037,3289,-1,0,-1
1785517971478040300,11288,3289,-1,0,-1
1785517971746856800,11540,3289,-1,0,-1
1785517971985924000,11790,3289,-1,0,-1
1785517972232442200,12041,3289,-1,0,-1
1785517972494153000,12292,3289,-1,0,-1
1785517972733919900,12543,3289,-1,0,-1
1785517972985912300,12794,3289,-1,0,-1
