frame_id,file,t_recv_wall_ns,gmag,theta_mod90,psi_mod90,n_comp,n_seg,weight,spread_deg,confident,psi_unwrapped
1092198,01092198.jpg,1785645715385977088,10.012,,,0,0,0.0,,0,0.001
1092199,01092199.jpg,1785645715416849408,10.012,,,0,0,0.0,,0,0.001
1092200,01092200.jpg,1785645715449564416,9.816,,,0,0,0.0,,0,0.001
1092201,01092201.jpg,1785645715483998976,9.816,,,0,0,0.0,,0,0.001
1092202,01092202.jpg,1785645715518359296,9.816,89.995,0.005,25,122,1634.5,4.16,1,0.005
1092203,01092203.jpg,1785645715550410752,9.816,89.995,0.005,25,122,1634.5,4.16,1,0.005
1092204,01092204.jpg,1785645715583347712,9.816,89.995,0.005,25,122,1634.5,4.16,1,0.005
1092205,01092205.jpg,1785645715617153280,9.815,89.993,0.007,25,124,1633.0,4.18,1,0.007
1092206,01092206.jpg,1785645715650511104,9.819,89.991,0.009,25,122,1624.5,4.2,1,0.009
1092207,01092207.jpg,1785645715683794432,9.81,89.991,0.009,25,122,1619.4,4.22,1,0.009
1092208,01092208.jpg,1785645715717061120,9.81,89.991,0.009,25,122,1614.3,4.25,1,0.009
1092209,01092209.jpg,1785645715749310464,9.81,89.991,0.009,25,122,1609.3,4.27,1,0.009
1092210,01092210.jpg,1785645715786124800,9.81,89.991,0.009,25,122,1604.4,4.29,1,0.009
1092211,01092211.jpg,1785645715816633088,9.81,89.991,0.009,25,122,1599.5,4.32,1,0.009
1092212,01092212.jpg,1785645715850853888,9.81,89.991,0.009,25,122,1594.8,4.34,1,0.009
1092213,01092213.jpg,1785645715885760000,9.81,89.991,0.009,25,122,1590.0,4.36,1,0.009
1092214,01092214.jpg,1785645715916692736,9.81,89.991,0.009,25,122,1585.4,4.39,1,0.009
1092215,01092215.jpg,1785645715950179328,9.81,89.991,0.009,25,122,1580.9,4.41,1,0.009
1092216,01092216.jpg,1785645715983352320,9.81,89.991,0.009,25,122,1576.4,4.44,1,0.009
1092217,01092217.jpg,1785645716016885504,9.81,89.991,0.009,25,124,1575.2,4.46,1,0.009
1092218,01092218.jpg,1785645716049402880,9.81,89.991,0.009,25,122,1569.8,4.47,1,0.009
1092219,01092219.jpg,1785645716083238144,9.81,89.991,0.009,25,122,1563.4,4.5,1,0.009
1092220,01092220.jpg,1785645716116023808,9.81,89.99,0.01,25,122,1559.2,4.53,1,0.01
1092221,01092221.jpg,1785645716149372928,9.81,89.99,0.01,25,124,1558.2,4.55,1,0.01
1092222,01092222.jpg,1785645716182801920,9.81,89.99,0.01,26,122,1551.0,4.57,1,0.01
1092223,01092223.jpg,1785645716217591808,9.81,89.99,0.01,26,122,1547.0,4.59,1,0.01
1092224,01092224.jpg,1785645716249309696,9.81,89.99,0.01,26,122,1543.0,4.61,1,0.01
1092225,01092225.jpg,1785645716283867392,9.81,89.99,0.01,24,122,1532.5,4.64,1,0.01
1092226,01092226.jpg,1785645716317426688,9.81,89.99,0.01,25,122,1535.4,4.7,1,0.01
1092227,01092227.jpg,1785645716350649600,9.81,89.99,0.01,25,122,1531.6,4.72,1,0.01
1092228,01092228.jpg,1785645716383851776,9.81,89.99,0.01,25,122,1527.9,4.7,1,0.01
1092229,01092229.jpg,1785645716416474624,9.81,89.99,0.01,25,124,1527.3,4.72,1,0.01
1092230,01092230.jpg,1785645716449614592,9.81,89.99,0.01,25,122,1520.7,4.74,1,0.01
1092231,01092231.jpg,1785645716483157760,9.81,89.99,0.01,25,122,1517.2,4.81,1,0.01
1092232,01092232.jpg,1785645716517230848,9.81,89.99,0.01,25,122,1513.8,4.83,1,0.01
1092233,01092233.jpg,1785645716550776576,9.81,89.99,0.01,25,124,1513.3,4.85,1,0.01
1092234,01092234.jpg,1785645716585576704,9.81,89.99,0.01,25,122,1507.0,4.87,1,0.01
1092235,01092235.jpg,1785645716616813312,9.81,89.99,0.01,25,122,1503.7,4.89,1,0.01
1092236,01092236.jpg,1785645716650228224,9.81,89.99,0.01,25,122,1500.5,4.91,1,0.01
1092237,01092237.jpg,1785645716683454720,9.81,89.99,0.01,25,124,1500.2,4.94,1,0.01
1092238,01092238.jpg,1785645716719378688,9.81,89.99,0.01,25,122,1494.2,4.96,1,0.01
1092239,01092239.jpg,1785645716749520640,9.81,89.99,0.01,25,122,1491.1,4.96,1,0.01
1092240,01092240.jpg,1785645716783184896,9.81,89.99,0.01,25,122,1488.1,4.92,1,0.01
1092241,01092241.jpg,1785645716816988928,9.81,89.99,0.01,25,124,1487.9,4.83,1,0.01
1092242,01092242.jpg,1785645716850246400,9.81,89.99,0.01,25,122,1482.2,4.74,1,0.01
1092243,01092243.jpg,1785645716883262720,9.81,89.99,0.01,25,122,1479.3,4.65,1,0.01
1092244,01092244.jpg,1785645716916971008,9.81,89.99,0.01,25,122,1476.5,4.56,1,0.01
1092245,01092245.jpg,1785645716949214976,9.81,89.99,0.01,25,124,1476.4,4.48,1,0.01
1092246,01092246.jpg,1785645716982859008,9.81,89.99,0.01,25,122,1470.9,4.49,1,0.01
1092247,01092247.jpg,1785645717017424384,9.81,89.99,0.01,25,122,1468.2,4.51,1,0.01
1092248,01092248.jpg,1785645717049473024,9.81,89.99,0.01,25,122,1465.6,4.53,1,0.01
1092249,01092249.jpg,1785645717083880448,9.81,89.99,0.01,25,124,1465.6,4.54,1,0.01
1092250,01092250.jpg,1785645717117180928,9.81,89.989,0.011,25,122,1460.4,4.56,1,0.011
1092251,01092251.jpg,1785645717150793728,9.81,89.989,0.011,26,122,1457.9,4.57,1,0.011
1092252,01092252.jpg,1785645717185345536,9.81,89.989,0.011,26,122,1455.4,4.55,1,0.011
1092253,01092253.jpg,1785645717217408512,9.81,89.989,0.011,26,124,1455.6,4.56,1,0.011
1092254,01092254.jpg,1785645717250709248,9.81,89.989,0.011,25,122,1450.5,4.58,1,0.011
1092255,01092255.jpg,1785645717283866112,9.81,89.989,0.011,25,121,1446.6,4.59,1,0.011
1092256,01092256.jpg,1785645717317344256,9.81,89.989,0.011,25,121,1444.3,4.54,1,0.011
1092257,01092257.jpg,1785645717350145024,9.81,89.989,0.011,25,123,1444.6,4.46,1,0.011
1092258,01092258.jpg,1785645717382783232,9.81,89.989,0.011,25,121,1439.7,4.39,1,0.011
1092259,01092259.jpg,1785645717416349696,9.81,89.989,0.011,25,121,1437.5,4.32,1,0.011
1092260,01092260.jpg,1785645717450605568,9.81,89.989,0.011,25,121,1435.4,4.25,1,0.011
1092261,01092261.jpg,1785645717483875584,9.81,89.989,0.011,25,123,1435.8,4.18,1,0.011
1092262,01092262.jpg,1785645717515849472,9.81,89.989,0.011,25,121,1431.1,4.11,1,0.011
1092263,01092263.jpg,1785645717549275136,9.81,89.989,0.011,25,121,1429.1,4.05,1,0.011
1092264,01092264.jpg,1785645717583853312,9.81,89.989,0.011,25,121,1427.0,3.98,1,0.011
1092265,01092265.jpg,1785645717617456128,9.81,89.989,0.011,25,123,1427.5,4.08,1,0.011
1092266,01092266.jpg,1785645717649270272,9.81,89.989,0.011,25,121,1424.0,3.88,1,0.011
1092267,01092267.jpg,1785645717682675200,9.81,89.989,0.011,25,121,1421.1,3.92,1,0.011
1092268,01092268.jpg,1785645717715917312,9.81,89.989,0.011,25,121,1419.2,3.84,1,0.011
1092269,01092269.jpg,1785645717749169408,9.81,89.989,0.011,25,123,1420.7,3.8,1,0.011
1092270,01092270.jpg,1785645717783840000,9.81,89.989,0.011,25,121,1415.5,3.69,1,0.011
1092271,01092271.jpg,1785645717817058560,9.81,89.989,0.011,25,121,1413.7,3.69,1,0.011
1092272,01092272.jpg,1785645717849496576,9.81,89.989,0.011,25,121,1411.9,3.69,1,0.011
1092273,01092273.jpg,1785645717883164672,9.81,89.989,0.011,25,121,1410.2,3.67,1,0.011
1092274,01092274.jpg,1785645717917444352,9.81,89.989,0.011,25,121,1408.4,3.68,1,0.011
1092275,01092275.jpg,1785645717949143040,9.81,89.989,0.011,25,121,1406.7,3.66,1,0.011
1092276,01092276.jpg,1785645717983152640,9.81,89.989,0.011,25,121,1405.1,3.59,1,0.011
1092277,01092277.jpg,1785645718017334272,9.81,89.989,0.011,25,119,1398.7,3.53,1,0.011
1092278,01092278.jpg,1785645718050253824,9.81,89.989,0.011,25,119,1397.1,3.46,1,0.011
1092279,01092279.jpg,1785645718083340288,9.81,89.989,0.011,26,119,1395.5,3.39,1,0.011
1092280,01092280.jpg,1785645718117143040,9.81,89.989,0.011,26,119,1394.0,3.33,1,0.011
1092281,01092281.jpg,1785645718150195456,9.81,89.989,0.011,26,119,1392.4,3.26,1,0.011
1092282,01092282.jpg,1785645718183413248,9.81,89.989,0.011,25,119,1391.0,3.2,1,0.011
1092283,01092283.jpg,1785645718216695552,9.81,89.989,0.011,25,119,1389.5,3.17,1,0.011
1092284,01092284.jpg,1785645718250543360,9.81,89.989,0.011,25,119,1388.1,3.18,1,0.011
1092285,01092285.jpg,1785645718283779328,9.81,89.989,0.011,25,119,1386.6,3.1,1,0.011
1092286,01092286.jpg,1785645718316779776,9.81,89.989,0.011,25,117,1379.6,3.01,1,0.011
1092287,01092287.jpg,1785645718350300672,9.81,89.989,0.011,25,117,1378.3,2.92,1,0.011
1092288,01092288.jpg,1785645718383288832,9.81,89.989,0.011,25,117,1377.0,2.91,1,0.011
1092289,01092289.jpg,1785645718416338176,9.81,89.989,0.011,25,117,1375.7,2.91,1,0.011
1092290,01092290.jpg,1785645718449550592,9.81,89.989,0.011,25,117,1374.4,2.87,1,0.011
1092291,01092291.jpg,1785645718485146624,9.81,89.989,0.011,25,117,1373.1,2.82,1,0.011
1092292,01092292.jpg,1785645718516625664,9.81,89.989,0.011,25,117,1371.9,2.76,1,0.011
1092293,01092293.jpg,1785645718549114112,9.81,89.989,0.011,25,117,1370.6,2.71,1,0.011
1092294,01092294.jpg,1785645718583035392,9.81,89.989,0.011,25,117,1369.4,2.66,1,0.011
1092295,01092295.jpg,1785645718617450752,9.821,89.987,0.013,25,117,1368.4,2.61,1,0.013
1092296,01092296.jpg,1785645718651035392,12.132,89.984,0.016,20,89,1193.4,3.72,1,0.016
1092297,01092297.jpg,1785645718683375872,10.164,1.629,88.371,20,78,1166.6,3.35,1,-1.629
1092298,01092298.jpg,1785645718716546304,9.848,89.971,0.029,24,88,1183.0,4.34,1,0.029
1092299,01092299.jpg,1785645718749797888,9.997,1.826,88.174,25,101,1192.8,2.93,1,-1.826
1092300,01092300.jpg,1785645718783428096,10.03,89.966,0.034,24,109,1385.6,3.11,1,0.034
1092301,01092301.jpg,1785645718818942208,10.005,89.979,0.021,33,122,1426.3,2.47,1,0.021
1092302,01092302.jpg,1785645718851683584,9.975,89.98,0.02,19,79,1210.8,3.51,1,0.02
1092303,01092303.jpg,1785645718883183360,9.955,0.074,89.926,26,120,1566.7,3.16,1,-0.074
1092304,01092304.jpg,1785645718916315136,9.895,89.981,0.019,27,126,1624.4,3.44,1,0.019
1092305,01092305.jpg,1785645718950372096,9.871,0.262,89.738,23,92,1424.4,3.0,1,-0.262
1092306,01092306.jpg,1785645718983560704,9.874,89.982,0.018,29,131,1722.7,3.46,1,0.018
1092307,01092307.jpg,1785645719017217280,9.874,1.995,88.005,22,92,1457.6,2.03,1,-1.995
1092308,01092308.jpg,1785645719049065984,9.876,1.996,88.004,20,85,1423.4,2.03,1,-1.996
1092309,01092309.jpg,1785645719083273472,9.88,1.061,88.939,28,123,1651.1,2.43,1,-1.061
1092310,01092310.jpg,1785645719117056000,9.883,1.455,88.545,18,90,1427.7,2.04,1,-1.455
1092311,01092311.jpg,1785645719149042688,9.885,1.663,88.337,20,90,1433.0,1.88,1,-1.663
1092312,01092312.jpg,1785645719183968512,9.887,1.822,88.178,21,104,1555.0,1.86,1,-1.822
1092313,01092313.jpg,1785645719215902720,9.888,1.745,88.255,29,130,1704.8,2.0,1,-1.745
1092314,01092314.jpg,1785645719249203712,9.888,2.012,87.988,27,92,1392.3,2.03,1,-2.012
1092315,01092315.jpg,1785645719282967296,9.889,1.928,88.072,27,121,1678.2,1.97,1,-1.928
1092316,01092316.jpg,1785645719317039360,9.889,2.002,87.998,22,96,1468.1,2.04,1,-2.002
1092317,01092317.jpg,1785645719349125888,9.888,1.958,88.042,29,110,1525.2,2.0,1,-1.958
1092318,01092318.jpg,1785645719384001280,9.888,89.986,0.014,25,120,1637.1,3.25,1,0.014
1092319,01092319.jpg,1785645719416460032,9.888,1.955,88.045,23,117,1652.6,1.99,1,-1.955
1092320,01092320.jpg,1785645719449385216,9.888,1.955,88.045,20,110,1618.7,1.98,1,-1.955
1092321,01092321.jpg,1785645719484756992,9.887,1.957,88.043,25,116,1638.6,2.01,1,-1.957
1092322,01092322.jpg,1785645719516619520,9.887,1.594,88.406,22,107,1582.9,1.85,1,-1.594
1092323,01092323.jpg,1785645719549559808,9.887,1.944,88.056,17,98,1541.8,1.97,1,-1.944
1092324,01092324.jpg,1785645719583371008,9.886,1.405,88.595,17,94,1469.5,2.16,1,-1.405
1092325,01092325.jpg,1785645719616874496,9.886,1.198,88.802,19,93,1462.5,2.59,1,-1.198
1092326,01092326.jpg,1785645719650148608,9.885,1.195,88.805,20,102,1575.1,2.16,1,-1.195
1092327,01092327.jpg,1785645719683225856,9.885,1.907,88.093,17,96,1542.9,1.93,1,-1.907
1092328,01092328.jpg,1785645719716425984,9.885,2.31,87.69,17,101,1557.9,2.33,1,-2.31
1092329,01092329.jpg,1785645719750956288,9.884,2.448,87.552,15,91,1507.2,2.46,1,-2.448
1092330,01092330.jpg,1785645719783030784,9.884,2.311,87.689,15,84,1424.5,2.33,1,-2.311
1092331,01092331.jpg,1785645719816267776,9.883,2.417,87.583,18,71,1270.3,2.43,1,-2.417
