t_wall_ns,sim_boot_time_ms,race_start_boot_time_ms,race_finish_time_ns,active_gate_index,last_gate_race_time
1785541988167863000,105113,3300,-1,5,66147438049
1785541988419264200,105365,3300,-1,5,66147438049
1785541988669963200,105615,3300,-1,5,66147438049
1785541988920287700,105866,3300,-1,5,66147438049
1785541989173340700,106117,3300,-1,5,66147438049
1785541989422608300,106368,3300,-1,5,66147438049
1785541989675339200,106619,3300,-1,5,66147438049
1785541989924394600,106869,3300,-1,5,66147438049
1785541990176447000,107120,3300,-1,5,66147438049
1785541990426489800,107370,3300,-1,5,66147438049
1785541990676715500,107621,3300,-1,5,66147438049
1785541990926582600,107872,3300,-1,5,66147438049
1785541991178866900,108123,3300,-1,5,66147438049
1785541991427976000,108374,3300,-1,5,66147438049
1785541991678848300,108624,3300,-1,5,66147438049
1785541991929264400,108875,3300,-1,5,66147438049
1785541992180293500,109126,3300,-1,5,66147438049
1785541992432433700,109376,3300,-1,5,66147438049
1785541992682313700,109628,3300,-1,5,66147438049
1785541992933069800,109879,3300,-1,5,66147438049
1785541992973083000,7,-1,-1,0,-1
1785541992973083000,7,-1,-1,0,-1
1785541992973083000,7,-1,-1,0,-1
1785541992973083000,7,-1,-1,0,-1
1785541993183489400,217,-1,-1,0,-1
1785541993434374800,467,3300,-1,0,-1
1785541993685257000,718,3300,-1,0,-1
1785541993937001700,969,3300,-1,0,-1
1785541994186605100,1220,3300,-1,0,-1
1785541994437231800,1471,3300,-1,0,-1
1785541994689125000,1721,3300,-1,0,-1
1785541994939075200,1973,3300,-1,0,-1
1785541995189283000,2223,3300,-1,0,-1
1785541995442108300,2474,3300,-1,0,-1
1785541995693760200,2726,3300,-1,0,-1
1785541995943257600,2977,3300,-1,0,-1
1785541996194637300,3228,3300,-1,0,-1
1785541996445386900,3479,3300,-1,0,-1
1785541996695737000,3729,3300,-1,0,-1
1785541996946868600,3980,3300,-1,0,-1
1785541997199172800,4231,3300,-1,0,-1
1785541997450757200,4483,3300,-1,0,-1
1785541997700352300,4734,3300,-1,0,-1
1785541997951115300,4985,3300,-1,0,-1
1785541998202176800,5236,3300,-1,0,-1
1785541998452492300,5486,3300,-1,0,-1
1785541998702880000,5736,3300,-1,0,-1
1785541998954044700,5988,3300,-1,0,-1
1785541999205103000,6238,3300,-1,0,-1
1785541999455444300,6489,3300,-1,0,-1
1785541999705954300,6739,3300,-1,0,-1
1785541999956611600,6990,3300,-1,0,-1
1785542000207252500,7241,3300,-1,0,-1
1785542000457557100,7491,3300,-1,0,-1
1785542000708618300,7742,3300,-1,0,-1
1785542000958981100,7992,3300,-1,0,-1
1785542001209974700,8243,3300,-1,0,-1
1785542001460563700,8494,3300,-1,0,-1
1785542001710975400,8744,3300,-1,0,-1
1785542001961696900,8995,3300,-1,0,-1
1785542002212444600,9246,3300,-1,0,-1
1785542002464821700,9497,3300,-1,0,-1
1785542002714448700,9747,3300,-1,0,-1
1785542002964438800,9998,3300,-1,0,-1
1785542003214997100,10249,3300,-1,0,-1
1785542003465179500,10499,3300,-1,0,-1
1785542003715349400,10749,3300,-1,0,-1
1785542003965791500,10999,3300,-1,0,-1
1785542004216245000,11250,3300,-1,0,-1
1785542004466632700,11500,3300,-1,0,-1
1785542004718948900,11751,3300,-1,0,-1
1785542004968022000,12002,3300,-1,0,-1
1785542005218649500,12252,3300,-1,0,-1
1785542005471460500,12503,3300,-1,0,-1
1785542005721495400,12755,3300,-1,0,-1
1785542005972475500,13006,3300,-1,0,-1
1785542006223520100,13256,3300,-1,0,-1
1785542006385224800,5,-1,-1,0,-1
1785542006385224800,5,-1,-1,0,-1
1785542006385224800,5,-1,-1,0,-1
1785542006385224800,5,-1,-1,0,-1
1785542006472661600,92,-1,-1,0,-1
1785542006724355300,344,3300,-1,0,-1
1785542006973952900,594,3300,-1,0,-1
1785542007225066100,844,3300,-1,0,-1
1785542007474170500,1094,3300,-1,0,-1
1785542007725349900,1345,3300,-1,0,-1
1785542007977595200,1596,3300,-1,0,-1
1785542008226719500,1846,3300,-1,0,-1
1785542008478791300,2097,3300,-1,0,-1
1785542008728642600,2348,3300,-1,0,-1
1785542008980203700,2600,3300,-1,0,-1
1785542009232989400,2851,3300,-1,0,-1
1785542009482395300,3102,3300,-1,0,-1
1785542009732824800,3353,3300,-1,0,-1
1785542009984865500,3603,3300,-1,0,-1
1785542010234442600,3854,3300,-1,0,-1
1785542010484320600,4104,3300,-1,0,-1
1785542010734496500,4354,3300,-1,0,-1
1785542010984562800,4604,3300,-1,0,-1
1785542011235465400,4855,3300,-1,0,-1
1785542011486661900,5106,3300,-1,0,-1
1785542011739378600,5358,3300,-1,0,-1
1785542011988157100,5608,3300,-1,0,-1
1785542012238831700,5859,3300,-1,0,-1
1785542012404818800,5,-1,-1,0,-1
1785542012406574900,8,-1,-1,0,-1
1785542012406574900,8,-1,-1,0,-1
1785542012406574900,8,-1,-1,0,-1
1785542012491619300,91,-1,-1,0,-1
1785542012742455200,342,3300,-1,0,-1
1785542012992642500,592,3300,-1,0,-1
1785542013242085200,843,3300,-1,0,-1
1785542013493414800,1093,3300,-1,0,-1
