t_wall_ns,armed,heading_rad,roll_rate,pitch_rate,yaw_rate,thrust
1785541988281185500,0,-0.0000,-0.0,-0.0,0.0,0.0
1785541988362052300,0,-0.0001,-0.0,-0.0,0.0,0.0
1785541988382341400,0,-0.0001,-0.0,-0.0,0.0,0.0
1785541988402542900,0,-0.0001,-0.0,-0.0,0.0,0.0
1785541988422437300,0,-0.0002,-0.0,-0.0,0.0,0.0
1785541988442605300,0,-0.0001,-0.0,-0.0,0.0,0.0
1785541988462331400,0,-0.0001,-0.0,-0.0,0.0,0.0
1785541988483089200,0,-0.0002,-0.0,-0.0,0.0,0.0
1785541988502721800,0,-0.0002,-0.0,-0.0,0.0,0.0
1785541988522623100,0,-0.0002,-0.0,-0.0,0.0,0.0
1785541988542381100,0,-0.0003,-0.0,-0.0,0.0,0.0
1785541988562981500,0,-0.0003,-0.0,-0.0,0.0,0.0
1785541988582626400,0,-0.0004,-0.0,-0.0,0.0,0.0
1785541988602473300,0,-0.0004,-0.0,-0.0,0.0,0.0
1785541988622505200,0,-0.0003,-0.0,-0.0,0.0,0.0
1785541988642412700,0,-0.0003,-0.0,-0.0,0.0,0.0
1785541988662605700,0,-0.0004,-0.0,-0.0,0.0,0.0
1785541988682450200,0,-0.0005,-0.0,-0.0,0.0,0.0
1785541988702498400,0,-0.0005,-0.0,-0.0,0.0,0.0
1785541988722458300,0,-0.0004,-0.0,-0.0,0.0,0.0
1785541988742317800,0,-0.0004,-0.0,-0.0,0.0,0.0
1785541988762613100,0,-0.0004,-0.0,-0.0,0.0,0.0
1785541988782628000,0,-0.0004,-0.0,-0.0,0.0,0.0
1785541988802546800,0,-0.0003,-0.0,-0.0,0.0,0.0
1785541988822745600,0,-0.0003,-0.0,-0.0,0.0,0.0
1785541988843055800,0,-0.0003,-0.0,-0.0,0.0,0.0
1785541988862603000,0,-0.0003,-0.0,-0.0,0.0,0.0
1785541988882383100,0,-0.0003,-0.0,-0.0,0.0,0.0
1785541988902832700,0,-0.0003,-0.0,-0.0,0.0,0.0
1785541988922551900,0,-0.0003,-0.0,-0.0,0.0,0.0
1785541988942464100,0,-0.0003,-0.0,-0.0,0.0,0.0
1785541988962391600,0,-0.0003,-0.0,-0.0,0.0,0.0
1785541988982481600,0,-0.0003,-0.0,-0.0,0.0,0.0
1785541989002693100,0,-0.0003,-0.0,-0.0,0.0,0.0
1785541989023186500,0,-0.0003,-0.0,-0.0,0.0,0.0
1785541989042495200,0,-0.0003,-0.0,-0.0,0.0,0.0
1785541989062271000,0,-0.0003,-0.0,-0.0,0.0,0.0
1785541989082380000,0,-0.0003,-0.0,-0.0,0.0,0.0
1785541989103121000,0,-0.0004,-0.0,-0.0,0.0,0.0
1785541989122605500,0,-0.0004,-0.0,-0.0,0.0,0.0
1785541989142881200,0,-0.0004,-0.0,-0.0,0.0,0.0
1785541989162629000,0,-0.0004,-0.0,-0.0,0.0,0.0
1785541989182659300,0,-0.0004,-0.0,-0.0,0.0,0.0
