t_wall_ns,time_usec,m0,m1,m2,m3
1785541988119234900,104993386,0.12041459232568741,0.1705773025751114,0.05000000819563866,0.05063210800290108
1785541988119234900,105012474,0.12016167491674423,0.17058441042900085,0.05000000819563866,0.0507972314953804
1785541988119234900,105012474,0.12016167491674423,0.17058441042900085,0.05000000819563866,0.0507972314953804
1785541988120235000,105026694,0.12024185806512833,0.17061516642570496,0.05000000819563866,0.05081336945295334
1785541988120235000,105026694,0.12024185806512833,0.17061516642570496,0.05000000819563866,0.05081336945295334
1785541988120235000,105045905,0.1203099936246872,0.17080329358577728,0.05000000819563866,0.05077151581645012
1785541988120235000,105060080,0.12029623240232468,0.17075490951538086,0.05000000819563866,0.05068027973175049
1785541988130406300,105060080,0.12029623240232468,0.17075490951538086,0.05000000819563866,0.05068027973175049
1785541988141785500,105079244,0.12027256935834885,0.17041367292404175,0.05000000819563866,0.05057254806160927
1785541988151830400,105093515,0.1200466901063919,0.1707049310207367,0.05000000819563866,0.05078163370490074
1785541988164591800,105093515,0.1200466901063919,0.1707049310207367,0.05000000819563866,0.05078163370490074
1785541988175780800,105112671,0.12002658098936081,0.1705094426870346,0.05000000819563866,0.0507107637822628
1785541988185137600,105126766,0.12000139057636261,0.17053599655628204,0.05000000819563866,0.05078664422035217
1785541988196008000,105126766,0.12000139057636261,0.17053599655628204,0.05000000819563866,0.05078664422035217
1785541988205731400,105146083,0.12011902779340744,0.17028549313545227,0.05000000819563866,0.050671789795160294
1785541988215887400,105160069,0.12007126212120056,0.17032277584075928,0.05000000819563866,0.05067184567451477
1785541988226740500,105160069,0.12007126212120056,0.17032277584075928,0.05000000819563866,0.05067184567451477
1785541988238188200,105179259,0.11984656006097794,0.170277401804924,0.05000000819563866,0.05080920457839966
1785541988249031600,105193428,0.11988042294979095,0.17035196721553802,0.05000000819563866,0.050837282091379166
1785541988259066100,105193428,0.11988042294979095,0.17035196721553802,0.05000000819563866,0.050837282091379166
1785541988270508700,105212629,0.11993783712387085,0.17001979053020477,0.05000000819563866,0.05063938349485397
1785541988280657700,105226610,0.11975625902414322,0.17016631364822388,0.05000000819563866,0.05076923593878746
1785541988294063200,105226758,0.11993266642093658,0.1701112687587738,0.05000000819563866,0.05063803866505623
1785541988301332100,105246007,0.1199423223733902,0.16992731392383575,0.05000000819563866,0.0505516417324543
1785541988314435900,105246007,0.1199423223733902,0.16992731392383575,0.05000000819563866,0.0505516417324543
1785541988323970000,105260073,0.11971831321716309,0.17022272944450378,0.05000000819563866,0.050726406276226044
1785541988334964000,105279184,0.11997565627098083,0.17025171220302582,0.05000000819563866,0.05059792473912239
1785541988346021100,105279184,0.11997565627098083,0.17025171220302582,0.05000000819563866,0.05059792473912239
1785541988358065600,105293371,0.11974376440048218,0.170403853058815,0.05000000819563866,0.05071399733424187
1785541988368381900,105312907,0.11981642991304398,0.17001768946647644,0.05000000819563866,0.05057372897863388
1785541988380807700,105312907,0.11981642991304398,0.17001768946647644,0.05000000819563866,0.05057372897863388
1785541988392404100,105326717,0.11982223391532898,0.17002297937870026,0.05000000819563866,0.050580255687236786
1785541988402014300,105345809,0.11983432620763779,0.16986389458179474,0.05000000819563866,0.05052684620022774
1785541988414733900,105345809,0.11983432620763779,0.16986389458179474,0.05000000819563866,0.05052684620022774
1785541988424505300,105360056,0.11961081624031067,0.17017574608325958,0.05000000819563866,0.05071532726287842
1785541988437269700,105379165,0.11952987313270569,0.16985833644866943,0.05000000819563866,0.05066880211234093
1785541988446732100,105379165,0.11952987313270569,0.16985833644866943,0.05000000819563866,0.05066880211234093
1785541988457544500,105393370,0.1196296438574791,0.16987939178943634,0.05000000819563866,0.050678499042987823
1785541988467736700,105412427,0.1196795180439949,0.16958971321582794,0.05000000819563866,0.050517488270998
1785541988478705300,105412427,0.1196795180439949,0.16958971321582794,0.05000000819563866,0.050517488270998
1785541988490995500,105426681,0.11965647339820862,0.16965246200561523,0.05000000819563866,0.05054240673780441
1785541988500456200,105445911,0.11965109407901764,0.16944988071918488,0.05000000819563866,0.050465699285268784
1785541988513059400,105445911,0.11965109407901764,0.16944988071918488,0.05000000819563866,0.050465699285268784
1785541988522623100,105460050,0.1194089949131012,0.16975601017475128,0.05000000819563866,0.05063237249851227
1785541988532713300,105460050,0.1194089949131012,0.16975601017475128,0.05000000819563866,0.05063237249851227
1785541988544440600,105479596,0.11952096968889236,0.16948753595352173,0.05000000819563866,0.05053336173295975
1785541988555332200,105493374,0.11949356645345688,0.1695203185081482,0.05000000819563866,0.050551723688840866
1785541988566105900,105493374,0.11949356645345688,0.1695203185081482,0.05000000819563866,0.050551723688840866
1785541988577271900,105512647,0.11951032280921936,0.16934971511363983,0.05000000819563866,0.05048077553510666
1785541988588265600,105526712,0.11948832124471664,0.16939987242221832,0.05000000819563866,0.050507646054029465
1785541988599174900,105526712,0.11948832124471664,0.16939987242221832,0.05000000819563866,0.050507646054029465
1785541988609274100,105545852,0.11927308142185211,0.1694117784500122,0.05000000819563866,0.05062771961092949
1785541988620270900,105560031,0.11924564838409424,0.16946803033351898,0.05000000819563866,0.05068591609597206
1785541988631298200,105560031,0.11924564838409424,0.16946803033351898,0.05000000819563866,0.05068591609597206
1785541988642412700,105579505,0.11928945034742355,0.1691945195198059,0.05000000819563866,0.05052436143159866
1785541988652526300,105593380,0.11928463727235794,0.1692424714565277,0.05000000819563866,0.05051221698522568
1785541988663615500,105593380,0.11928463727235794,0.1692424714565277,0.05000000819563866,0.05051221698522568
1785541988673159100,105612470,0.11929993331432343,0.16903014481067657,0.05000000819563866,0.05043001472949982
1785541988684524700,105626681,0.11930801719427109,0.16914646327495575,0.05000000819563866,0.05046124756336212
1785541988694179900,105626681,0.11930801719427109,0.16914646327495575,0.05000000819563866,0.05046124756336212
1785541988704578700,105645755,0.1190766915678978,0.1691138744354248,0.05000000819563866,0.05058791860938072
1785541988715842600,105660026,0.11912232637405396,0.16913099586963654,0.05000000819563866,0.05060091242194176
1785541988726060500,105660026,0.11912232637405396,0.16913099586963654,0.05000000819563866,0.05060091242194176
1785541988737371500,105679186,0.11907374113798141,0.16934552788734436,0.05000000819563866,0.050572119653224945
1785541988748597800,105693370,0.11911889165639877,0.169192373752594,0.05000000819563866,0.050561849027872086
1785541988759376700,105693370,0.11911889165639877,0.169192373752594,0.05000000819563866,0.050561849027872086
1785541988769484400,105712491,0.11917683482170105,0.16893190145492554,0.05000000819563866,0.05042851343750954
1785541988780393600,105712491,0.11917683482170105,0.16893190145492554,0.05000000819563866,0.05042851343750954
1785541988791410000,105726677,0.11894696205854416,0.16921792924404144,0.05000000819563866,0.05055905878543854
1785541988802546800,105745856,0.11890684813261032,0.1689792275428772,0.05000000819563866,0.05051456391811371
1785541988814102100,105760032,0.1189546138048172,0.1689709573984146,0.05000000819563866,0.050538547337055206
1785541988825268700,105760032,0.1189546138048172,0.1689709573984146,0.05000000819563866,0.050538547337055206
1785541988836588700,105779115,0.11891146749258041,0.16916441917419434,0.05000000819563866,0.050521064549684525
1785541988846134500,105779115,0.11891146749258041,0.16916441917419434,0.05000000819563866,0.050521064549684525
1785541988857247200,105793344,0.1189948245882988,0.16909314692020416,0.05000000819563866,0.050555162131786346
1785541988870093500,105812451,0.11896993964910507,0.16868212819099426,0.05000000819563866,0.05039124935865402
1785541988880861300,105812451,0.11896993964910507,0.16868212819099426,0.05000000819563866,0.05039124935865402
1785541988892308500,105826675,0.11894671618938446,0.16881413757801056,0.05000000819563866,0.050406187772750854
1785541988902832700,105845728,0.118706114590168,0.1687324345111847,0.05000000819563866,0.05053287371993065
1785541988912334700,105845728,0.118706114590168,0.1687324345111847,0.05000000819563866,0.05053287371993065
1785541988923558300,105860031,0.11874216049909592,0.16882096230983734,0.05000000819563866,0.05058475583791733
1785541988934531100,105879003,0.11897435039281845,0.1689496785402298,0.05000000819563866,0.050502486526966095
1785541988943470200,105879134,0.11896774917840958,0.16882747411727905,0.05000000819563866,0.05042616277933121
1785541988953686100,105893334,0.11880503594875336,0.16894549131393433,0.05000000819563866,0.05043625086545944
1785541988964473500,105893334,0.11880503594875336,0.16894549131393433,0.05000000819563866,0.05043625086545944
1785541988975524900,105912510,0.11882615089416504,0.16902576386928558,0.05000000819563866,0.05039385333657265
1785541988986557900,105926670,0.1188293993473053,0.16892236471176147,0.05000000819563866,0.05034277215600014
1785541988997729800,105926670,0.1188293993473053,0.16892236471176147,0.05000000819563866,0.05034277215600014
1785541989009205600,105945811,0.11880606412887573,0.1685619354248047,0.05000000819563866,0.050315357744693756
1785541989019981600,105960033,0.1185973510146141,0.16888053715229034,0.05000000819563866,0.05047262832522392
1785541989031008000,105960033,0.1185973510146141,0.16888053715229034,0.05000000819563866,0.05047262832522392
1785541989042495200,105979143,0.11857330054044724,0.16848358511924744,0.05000000819563866,0.050377875566482544
1785541989052797200,105993341,0.11861202865839005,0.16858157515525818,0.05000000819563866,0.050429366528987885
1785541989064335000,105993341,0.11861202865839005,0.16858157515525818,0.05000000819563866,0.050429366528987885
