t_wall_ns,time_usec,xacc,yacc,zacc,xgyro,ygyro,zgyro,abs_pressure,pressure_alt,temperature
1785524832490060600,484680761,-2.999063014984131,-0.0020440772641450167,-9.340328216552734,0.0,0.0,-0.0,nan,nan,nan
1785524832491060600,484700269,-2.999063014984131,-0.0020440772641450167,-9.340328216552734,0.0,0.0,-0.0,nan,nan,nan
1785524832491060600,484716854,-2.999063014984131,-0.0020440772641450167,-9.340328216552734,0.0,0.0,-0.0,nan,nan,nan
1785524832491060600,484730679,-2.999063014984131,-0.0020440772641450167,-9.340328216552734,0.0,0.0,-0.0,nan,nan,nan
1785524832492566100,484747334,-2.999063014984131,-0.0020440772641450167,-9.340328216552734,0.0,0.0,-0.0,nan,nan,nan
1785524832492566100,484766963,-2.999063014984131,-0.0020440772641450167,-9.340328216552734,0.0,0.0,-0.0,nan,nan,nan
1785524832493572000,484783191,-2.999063014984131,-0.0020440772641450167,-9.340328216552734,0.0,0.0,-0.0,nan,nan,nan
1785524832493572000,484797334,-2.999063014984131,-0.0020440772641450167,-9.340328216552734,0.0,0.0,-0.0,nan,nan,nan
1785524832493572000,484813991,-2.999063014984131,-0.0020440772641450167,-9.340328216552734,0.0,0.0,-0.0,nan,nan,nan
1785524832515200700,484833733,-2.999063014984131,-0.0020440772641450167,-9.340328216552734,0.0,0.0,-0.0,nan,nan,nan
1785524832519695200,484849675,-2.999063014984131,-0.0020440772641450167,-9.340328216552734,0.0,0.0,-0.0,nan,nan,nan
1785524832534327800,484864003,-2.999063014984131,-0.0020440772641450167,-9.340328216552734,0.0,0.0,-0.0,nan,nan,nan
1785524832553043600,484880781,-2.999063014984131,-0.0020440772641450167,-9.340328216552734,0.0,0.0,-0.0,nan,nan,nan
1785524832570680100,484905271,-2.999063014984131,-0.0020440772641450167,-9.340328216552734,0.0,0.0,-0.0,nan,nan,nan
1785524832587734100,484917050,-2.999063014984131,-0.0020440772641450167,-9.340328216552734,0.0,0.0,-0.0,nan,nan,nan
1785524832595404000,484930719,-2.999063014984131,-0.0020440772641450167,-9.340328216552734,0.0,0.0,-0.0,nan,nan,nan
1785524832611727500,484947461,-2.999063014984131,-0.0020440772641450167,-9.340328216552734,0.0,0.0,-0.0,nan,nan,nan
1785524832638608900,484966598,-2.999063014984131,-0.0020440772641450167,-9.340328216552734,0.0,0.0,-0.0,nan,nan,nan
1785524832646713900,484983408,-2.999063014984131,-0.0020440772641450167,-9.340328216552734,0.0,0.0,-0.0,nan,nan,nan
1785524832663570400,484997832,-2.999063014984131,-0.0020440772641450167,-9.340328216552734,0.0,0.0,-0.0,nan,nan,nan
1785524832681718400,485014105,-2.999063014984131,-0.0020440772641450167,-9.340328216552734,0.0,0.0,-0.0,nan,nan,nan
1785524832699706200,485033754,-2.999063014984131,-0.0020440772641450167,-9.340328216552734,0.0,0.0,-0.0,nan,nan,nan
1785524832718109700,485049860,-2.999063014984131,-0.0020440772641450167,-9.340328216552734,0.0,0.0,-0.0,nan,nan,nan
1785524832736921300,485064022,-2.999063014984131,-0.0020440772641450167,-9.340328216552734,0.0,0.0,-0.0,nan,nan,nan
1785524832744859000,485080786,-2.999063014984131,-0.0020440772641450167,-9.340328216552734,0.0,0.0,-0.0,nan,nan,nan
1785524832763914600,485099945,-2.999063014984131,-0.0020440772641450167,-9.340328216552734,0.0,0.0,-0.0,nan,nan,nan
1785524832781712300,485116686,-2.999063014984131,-0.0020440772641450167,-9.340328216552734,0.0,0.0,-0.0,nan,nan,nan
1785524832798090200,485130738,-2.999063014984131,-0.0020440772641450167,-9.340328216552734,0.0,0.0,-0.0,nan,nan,nan
1785524832815590400,485147358,-2.999063014984131,-0.0020440772641450167,-9.340328216552734,0.0,0.0,-0.0,nan,nan,nan
1785524832834095400,485166536,-2.999063014984131,-0.0020440772641450167,-9.340328216552734,0.0,0.0,-0.0,nan,nan,nan
1785524832851737000,485183080,-2.999063014984131,-0.0020440772641450167,-9.340328216552734,0.0,0.0,-0.0,nan,nan,nan
1785524832868149700,485197341,-2.999063014984131,-0.0020440772641450167,-9.340328216552734,0.0,0.0,-0.0,nan,nan,nan
1785524832885656900,485214089,-2.999063014984131,-0.0020440772641450167,-9.340328216552734,0.0,0.0,-0.0,nan,nan,nan
1785524832906254200,485233216,-2.999063014984131,-0.0020440772641450167,-9.340328216552734,0.0,0.0,-0.0,nan,nan,nan
1785524832915375500,485250170,-2.999063014984131,-0.0020440772641450167,-9.340328216552734,0.0,0.0,-0.0,nan,nan,nan
1785524832931564300,485264051,-2.999063014984131,-0.0020440772641450167,-9.340328216552734,0.0,0.0,-0.0,nan,nan,nan
1785524832950536400,485280669,-2.999063014984131,-0.0020440772641450167,-9.340328216552734,0.0,0.0,-0.0,nan,nan,nan
1785524832971132700,485300257,-2.999063014984131,-0.0020440772641450167,-9.340328216552734,0.0,0.0,-0.0,nan,nan,nan
1785524832987397300,485316356,-2.999063014984131,-0.0020440772641450167,-9.340328216552734,0.0,0.0,-0.0,nan,nan,nan
1785524832995266300,485330672,-2.999063014984131,-0.0020440772641450167,-9.340328216552734,0.0,0.0,-0.0,nan,nan,nan
1785524833013605900,485347316,-2.999063014984131,-0.0020440772641450167,-9.340328216552734,0.0,0.0,-0.0,nan,nan,nan
1785524833032570700,485366443,-2.999063014984131,-0.0020440772641450167,-9.340328216552734,0.0,0.0,-0.0,nan,nan,nan
1785524833050212300,485383525,-2.999063014984131,-0.0020440772641450167,-9.340328216552734,0.0,0.0,-0.0,nan,nan,nan
1785524833068262300,485397325,-2.999063014984131,-0.0020440772641450167,-9.340328216552734,0.0,0.0,-0.0,nan,nan,nan
1785524833087170600,485414076,-2.999063014984131,-0.0020440772641450167,-9.340328216552734,0.0,0.0,-0.0,nan,nan,nan
1785524833103169400,485433148,-2.999063014984131,-0.0020440772641450167,-9.340328216552734,0.0,0.0,-0.0,nan,nan,nan
1785524833120804700,485450190,-2.999063014984131,-0.0020440772641450167,-9.340328216552734,0.0,0.0,-0.0,nan,nan,nan
1785524833131831100,485464152,-2.999063014984131,-0.0020440772641450167,-9.340328216552734,0.0,0.0,-0.0,nan,nan,nan
1785524833148014700,485480669,-2.999063014984131,-0.0020440772641450167,-9.340328216552734,0.0,0.0,-0.0,nan,nan,nan
1785524833168413800,485500231,-2.999063014984131,-0.0020440772641450167,-9.340328216552734,0.0,0.0,-0.0,nan,nan,nan
1785524833183271000,485516403,-2.999063014984131,-0.0020440772641450167,-9.340328216552734,0.0,0.0,-0.0,nan,nan,nan
1785524833200973800,485530657,-2.999063014984131,-0.0020440772641450167,-9.340328216552734,0.0,0.0,-0.0,nan,nan,nan
1785524833219494800,485547401,-2.999063014984131,-0.0020440772641450167,-9.340328216552734,0.0,0.0,-0.0,nan,nan,nan
1785524833238809500,485566794,-2.999063014984131,-0.0020440772641450167,-9.340328216552734,0.0,0.0,-0.0,nan,nan,nan
1785524833248381400,485583038,-2.999063014984131,-0.0020440772641450167,-9.340328216552734,0.0,0.0,-0.0,nan,nan,nan
1785524833264724100,485597333,-2.999063014984131,-0.0020440772641450167,-9.340328216552734,0.0,0.0,-0.0,nan,nan,nan
1785524833283999000,485614067,-2.999063014984131,-0.0020440772641450167,-9.340328216552734,0.0,0.0,-0.0,nan,nan,nan
1785524833300203400,485633073,-2.999063014984131,-0.0020440772641450167,-9.340328216552734,0.0,0.0,-0.0,nan,nan,nan
1785524833318086200,485649785,-2.999063014984131,-0.0020440772641450167,-9.340328216552734,0.0,0.0,-0.0,nan,nan,nan
1785524833329218300,485663987,-2.999063014984131,-0.0020440772641450167,-9.340328216552734,0.0,0.0,-0.0,nan,nan,nan
1785524833346690000,485680819,-2.999063014984131,-0.0020440772641450167,-9.340328216552734,0.0,0.0,-0.0,nan,nan,nan
1785524833363347800,485700078,-2.999063014984131,-0.0020440772641450167,-9.340328216552734,0.0,0.0,-0.0,nan,nan,nan
1785524833371397500,485700238,-2.999063014984131,-0.0020440772641450167,-9.340328216552734,0.0,0.0,-0.0,nan,nan,nan
1785524833380859000,485716380,-2.999063014984131,-0.0020440772641450167,-9.340328216552734,0.0,0.0,-0.0,nan,nan,nan
1785524833400353300,485730704,-2.999063014984131,-0.0020440772641450167,-9.340328216552734,0.0,0.0,-0.0,nan,nan,nan
1785524833418151800,485747382,-2.999063014984131,-0.0020440772641450167,-9.340328216552734,0.0,0.0,-0.0,nan,nan,nan
1785524833434847000,485766582,-2.999063014984131,-0.0020440772641450167,-9.340328216552734,0.0,0.0,-0.0,nan,nan,nan
1785524833452543300,485783010,-2.999063014984131,-0.0020440772641450167,-9.340328216552734,0.0,0.0,-0.0,nan,nan,nan
1785524833462108400,485797327,-2.999063014984131,-0.0020440772641450167,-9.340328216552734,0.0,0.0,-0.0,nan,nan,nan
1785524833480043000,485813973,-2.999063014984131,-0.0020440772641450167,-9.340328216552734,0.0,0.0,-0.0,nan,nan,nan
1785524833497566400,485833129,-2.999063014984131,-0.0020440772641450167,-9.340328216552734,0.0,0.0,-0.0,nan,nan,nan
1785524833516017200,485849633,-2.999063014984131,-0.0020440772641450167,-9.340328216552734,0.0,0.0,-0.0,nan,nan,nan
1785524833533552200,485864014,-2.999063014984131,-0.0020440772641450167,-9.340328216552734,0.0,0.0,-0.0,nan,nan,nan
1785524833551657600,485880683,-2.999063014984131,-0.0020440772641450167,-9.340328216552734,0.0,0.0,-0.0,nan,nan,nan
1785524833569538800,485900403,-2.999063014984131,-0.0020440772641450167,-9.340328216552734,0.0,0.0,-0.0,nan,nan,nan
1785524833587176000,485916447,-2.999063014984131,-0.0020440772641450167,-9.340328216552734,0.0,0.0,-0.0,nan,nan,nan
1785524833596824500,485930681,-2.999063014984131,-0.0020440772641450167,-9.340328216552734,0.0,0.0,-0.0,nan,nan,nan
1785524833614261200,485947315,-2.999063014984131,-0.0020440772641450167,-9.340328216552734,0.0,0.0,-0.0,nan,nan,nan
1785524833631552700,485966645,-2.999063014984131,-0.0020440772641450167,-9.340328216552734,0.0,0.0,-0.0,nan,nan,nan
1785524833647909100,485983590,-2.999063014984131,-0.0020440772641450167,-9.340328216552734,0.0,0.0,-0.0,nan,nan,nan
1785524833666865100,485997381,-2.999063014984131,-0.0020440772641450167,-9.340328216552734,0.0,0.0,-0.0,nan,nan,nan
1785524833685934200,486014006,-2.999063014984131,-0.0020440772641450167,-9.340328216552734,0.0,0.0,-0.0,nan,nan,nan
1785524833704944400,486033344,-2.999063014984131,-0.0020440772641450167,-9.340328216552734,0.0,0.0,-0.0,nan,nan,nan
1785524833721338900,486050596,-2.999063014984131,-0.0020440772641450167,-9.340328216552734,0.0,0.0,-0.0,nan,nan,nan
1785524833730946700,486064120,-2.999063014984131,-0.0020440772641450167,-9.340328216552734,0.0,0.0,-0.0,nan,nan,nan
1785524833751611900,486080988,-2.999063014984131,-0.0020440772641450167,-9.340328216552734,0.0,0.0,-0.0,nan,nan,nan
1785524833767345900,486100517,-2.999063014984131,-0.0020440772641450167,-9.340328216552734,0.0,0.0,-0.0,nan,nan,nan
1785524833785251300,486116540,-2.999063014984131,-0.0020440772641450167,-9.340328216552734,0.0,0.0,-0.0,nan,nan,nan
1785524833802036300,486130705,-2.999063014984131,-0.0020440772641450167,-9.340328216552734,0.0,0.0,-0.0,nan,nan,nan
1785524833811437400,486147335,-2.999063014984131,-0.0020440772641450167,-9.340328216552734,0.0,0.0,-0.0,nan,nan,nan
1785524833838499400,486167023,-2.999063014984131,-0.0020440772641450167,-9.340328216552734,0.0,0.0,-0.0,nan,nan,nan
1785524833854100800,486183314,-2.999063014984131,-0.0020440772641450167,-9.340328216552734,0.0,0.0,-0.0,nan,nan,nan
1785524833863348400,486197766,-2.999063014984131,-0.0020440772641450167,-9.340328216552734,0.0,0.0,-0.0,nan,nan,nan
1785524833881055600,486214041,-2.999063014984131,-0.0020440772641450167,-9.340328216552734,0.0,0.0,-0.0,nan,nan,nan
1785524833899930600,486233300,-2.999063014984131,-0.0020440772641450167,-9.340328216552734,0.0,0.0,-0.0,nan,nan,nan
1785524833919193200,486250391,-2.999063014984131,-0.0020440772641450167,-9.340328216552734,0.0,0.0,-0.0,nan,nan,nan
1785524833935740900,486264019,-2.999063014984131,-0.0020440772641450167,-9.340328216552734,0.0,0.0,-0.0,nan,nan,nan
1785524833952821400,486280653,-2.999063014984131,-0.0020440772641450167,-9.340328216552734,0.0,0.0,-0.0,nan,nan,nan
1785524833971921200,486299867,-2.999063014984131,-0.0020440772641450167,-9.340328216552734,0.0,0.0,-0.0,nan,nan,nan
1785524833988040400,486316660,-2.999063014984131,-0.0020440772641450167,-9.340328216552734,0.0,0.0,-0.0,nan,nan,nan
1785524833997777300,486330674,-2.999063014984131,-0.0020440772641450167,-9.340328216552734,0.0,0.0,-0.0,nan,nan,nan
1785524834014533800,486347598,-2.999063014984131,-0.0020440772641450167,-9.340328216552734,0.0,0.0,-0.0,nan,nan,nan
1785524834032278200,486367052,-2.999063014984131,-0.0020440772641450167,-9.340328216552734,0.0,0.0,-0.0,nan,nan,nan
1785524834051233200,486383099,-2.999063014984131,-0.0020440772641450167,-9.340328216552734,0.0,0.0,-0.0,nan,nan,nan
1785524834067133900,486397334,-2.999063014984131,-0.0020440772641450167,-9.340328216552734,0.0,0.0,-0.0,nan,nan,nan
1785524834084933000,486413964,-2.999063014984131,-0.0020440772641450167,-9.340328216552734,0.0,0.0,-0.0,nan,nan,nan
1785524834102372300,486433189,-2.999063014984131,-0.0020440772641450167,-9.340328216552734,0.0,0.0,-0.0,nan,nan,nan
1785524834120234200,486450016,-2.999063014984131,-0.0020440772641450167,-9.340328216552734,0.0,0.0,-0.0,nan,nan,nan
1785524834129231600,486464026,-2.999063014984131,-0.0020440772641450167,-9.340328216552734,0.0,0.0,-0.0,nan,nan,nan
1785524834148473000,486480661,-2.999063014984131,-0.0020440772641450167,-9.340328216552734,0.0,0.0,-0.0,nan,nan,nan
1785524834166557400,486500270,-2.999063014984131,-0.0020440772641450167,-9.340328216552734,0.0,0.0,-0.0,nan,nan,nan
1785524834181800800,486516817,-2.999063014984131,-0.0020440772641450167,-9.340328216552734,0.0,0.0,-0.0,nan,nan,nan
1785524834199393600,486530667,-2.999063014984131,-0.0020440772641450167,-9.340328216552734,0.0,0.0,-0.0,nan,nan,nan
1785524834217171500,486547339,-2.999063014984131,-0.0020440772641450167,-9.340328216552734,0.0,0.0,-0.0,nan,nan,nan
1785524834236327800,486566601,-2.999063014984131,-0.0020440772641450167,-9.340328216552734,0.0,0.0,-0.0,nan,nan,nan
1785524834251168000,486583661,-2.999063014984131,-0.0020440772641450167,-9.340328216552734,0.0,0.0,-0.0,nan,nan,nan
1785524834270164500,486597323,-2.999063014984131,-0.0020440772641450167,-9.340328216552734,0.0,0.0,-0.0,nan,nan,nan
1785524834278109200,486614083,-2.999063014984131,-0.0020440772641450167,-9.340328216552734,0.0,0.0,-0.0,nan,nan,nan
1785524834304752500,486633795,-2.999063014984131,-0.0020440772641450167,-9.340328216552734,0.0,0.0,-0.0,nan,nan,nan
1785524834315616700,486649776,-2.999063014984131,-0.0020440772641450167,-9.340328216552734,0.0,0.0,-0.0,nan,nan,nan
1785524834332947400,486664006,-2.999063014984131,-0.0020440772641450167,-9.340328216552734,0.0,0.0,-0.0,nan,nan,nan
1785524834351318400,486680633,-2.999063014984131,-0.0020440772641450167,-9.340328216552734,0.0,0.0,-0.0,nan,nan,nan
1785524834367114900,486699814,-2.999063014984131,-0.0020440772641450167,-9.340328216552734,0.0,0.0,-0.0,nan,nan,nan
1785524834386625500,486716428,-2.999063014984131,-0.0020440772641450167,-9.340328216552734,0.0,0.0,-0.0,nan,nan,nan
1785524834401869500,486730665,-2.999063014984131,-0.0020440772641450167,-9.340328216552734,0.0,0.0,-0.0,nan,nan,nan
1785524834412865600,486747429,-2.999063014984131,-0.0020440772641450167,-9.340328216552734,0.0,0.0,-0.0,nan,nan,nan
1785524834430600500,486766648,-2.999063014984131,-0.0020440772641450167,-9.340328216552734,0.0,0.0,-0.0,nan,nan,nan
1785524834450014900,486783123,-2.999063014984131,-0.0020440772641450167,-9.340328216552734,0.0,0.0,-0.0,nan,nan,nan
1785524834466171600,486797337,-2.999063014984131,-0.0020440772641450167,-9.340328216552734,0.0,0.0,-0.0,nan,nan,nan
1785524834482192500,486813956,-2.999063014984131,-0.0020440772641450167,-9.340328216552734,0.0,0.0,-0.0,nan,nan,nan
1785524834499042100,486833266,-2.999063014984131,-0.0020440772641450167,-9.340328216552734,0.0,0.0,-0.0,nan,nan,nan
1785524834517873600,486849745,-2.999063014984131,-0.0020440772641450167,-9.340328216552734,0.0,0.0,-0.0,nan,nan,nan
1785524834527477400,486863986,-2.999063014984131,-0.0020440772641450167,-9.340328216552734,0.0,0.0,-0.0,nan,nan,nan
1785524834545082700,486880630,-2.999063014984131,-0.0020440772641450167,-9.340328216552734,0.0,0.0,-0.0,nan,nan,nan
1785524834570981700,486899887,-2.999063014984131,-0.0020440772641450167,-9.340328216552734,0.0,0.0,-0.0,nan,nan,nan
1785524834580586500,486916376,-2.999063014984131,-0.0020440772641450167,-9.340328216552734,0.0,0.0,-0.0,nan,nan,nan
1785524834599979300,486930636,-2.999063014984131,-0.0020440772641450167,-9.340328216552734,0.0,0.0,-0.0,nan,nan,nan
1785524834617033700,486947284,-2.999063014984131,-0.0020440772641450167,-9.340328216552734,0.0,0.0,-0.0,nan,nan,nan
1785524834634690100,486966496,-2.999063014984131,-0.0020440772641450167,-9.340328216552734,0.0,0.0,-0.0,nan,nan,nan
1785524834652792900,486983381,-2.999063014984131,-0.0020440772641450167,-9.340328216552734,0.0,0.0,-0.0,nan,nan,nan
1785524834660727400,486997305,-2.999063014984131,-0.0020440772641450167,-9.340328216552734,0.0,0.0,-0.0,nan,nan,nan
1785524834679484000,487014061,-2.999063014984131,-0.0020440772641450167,-9.340328216552734,0.0,0.0,-0.0,nan,nan,nan
1785524834706404400,487034062,-2.999063014984131,-0.0020440772641450167,-9.340328216552734,0.0,0.0,-0.0,nan,nan,nan
1785524834715065500,487049947,-2.999063014984131,-0.0020440772641450167,-9.340328216552734,0.0,0.0,-0.0,nan,nan,nan
1785524834734328400,487064024,-2.999063014984131,-0.0020440772641450167,-9.340328216552734,0.0,0.0,-0.0,nan,nan,nan
1785524834750401000,487080769,-2.999063014984131,-0.0020440772641450167,-9.340328216552734,0.0,0.0,-0.0,nan,nan,nan
1785524834767276700,487100076,-2.999063014984131,-0.0020440772641450167,-9.340328216552734,0.0,0.0,-0.0,nan,nan,nan
1785524834785287400,487116517,-2.999063014984131,-0.0020440772641450167,-9.340328216552734,0.0,0.0,-0.0,nan,nan,nan
1785524834794677100,487130675,-2.999063014984131,-0.0020440772641450167,-9.340328216552734,0.0,0.0,-0.0,nan,nan,nan
1785524834811594900,487147307,-2.999063014984131,-0.0020440772641450167,-9.340328216552734,0.0,0.0,-0.0,nan,nan,nan
1785524834839036100,487166593,-2.999063014984131,-0.0020440772641450167,-9.340328216552734,0.0,0.0,-0.0,nan,nan,nan
1785524834856693000,487184096,-2.999063014984131,-0.0020440772641450167,-9.340328216552734,0.0,0.0,-0.0,nan,nan,nan
1785524834864890500,487197330,-2.999063014984131,-0.0020440772641450167,-9.340328216552734,0.0,0.0,-0.0,nan,nan,nan
1785524834880954900,487213952,-2.999063014984131,-0.0020440772641450167,-9.340328216552734,0.0,0.0,-0.0,nan,nan,nan
1785524834898812100,487233696,-2.999063014984131,-0.0020440772641450167,-9.340328216552734,0.0,0.0,-0.0,nan,nan,nan
1785524834916519000,487250239,-2.999063014984131,-0.0020440772641450167,-9.340328216552734,0.0,0.0,-0.0,nan,nan,nan
1785524834934095400,487263957,-2.999063014984131,-0.0020440772641450167,-9.340328216552734,0.0,0.0,-0.0,nan,nan,nan
1785524834953024700,487280669,-2.999063014984131,-0.0020440772641450167,-9.340328216552734,0.0,0.0,-0.0,nan,nan,nan
1785524834970816400,487299820,-2.999063014984131,-0.0020440772641450167,-9.340328216552734,0.0,0.0,-0.0,nan,nan,nan
1785524834986607600,487316561,-2.999063014984131,-0.0020440772641450167,-9.340328216552734,0.0,0.0,-0.0,nan,nan,nan
1785524834994686400,487330605,-2.999063014984131,-0.0020440772641450167,-9.340328216552734,0.0,0.0,-0.0,nan,nan,nan
1785524835013167100,487347353,-2.999063014984131,-0.0020440772641450167,-9.340328216552734,0.0,0.0,-0.0,nan,nan,nan
1785524835030722700,487366716,-2.999063014984131,-0.0020440772641450167,-9.340328216552734,0.0,0.0,-0.0,nan,nan,nan
1785524835049695800,487383598,-2.999063014984131,-0.0020440772641450167,-9.340328216552734,0.0,0.0,-0.0,nan,nan,nan
1785524835066976800,487397350,-2.999063014984131,-0.0020440772641450167,-9.340328216552734,0.0,0.0,-0.0,nan,nan,nan
1785524835084772300,487413945,-2.999063014984131,-0.0020440772641450167,-9.340328216552734,0.0,0.0,-0.0,nan,nan,nan
1785524835102305500,487433641,-2.999063014984131,-0.0020440772641450167,-9.340328216552734,0.0,0.0,-0.0,nan,nan,nan
1785524835120193000,487449806,-2.999063014984131,-0.0020440772641450167,-9.340328216552734,0.0,0.0,-0.0,nan,nan,nan
1785524835129941900,487464000,-2.999063014984131,-0.0020440772641450167,-9.340328216552734,0.0,0.0,-0.0,nan,nan,nan
1785524835144765100,487480606,-2.999063014984131,-0.0020440772641450167,-9.340328216552734,0.0,0.0,-0.0,nan,nan,nan
1785524835171484500,487500327,-2.999063014984131,-0.0020440772641450167,-9.340328216552734,0.0,0.0,-0.0,nan,nan,nan
1785524835180025900,487516356,-2.999063014984131,-0.0020440772641450167,-9.340328216552734,0.0,0.0,-0.0,nan,nan,nan
1785524835196201000,487530624,-2.999063014984131,-0.0020440772641450167,-9.340328216552734,0.0,0.0,-0.0,nan,nan,nan
1785524835216725600,487547265,-2.999063014984131,-0.0020440772641450167,-9.340328216552734,0.0,0.0,-0.0,nan,nan,nan
1785524835231514700,487566456,-2.999063014984131,-0.0020440772641450167,-9.340328216552734,0.0,0.0,-0.0,nan,nan,nan
1785524835251034700,487583036,-2.999063014984131,-0.0020440772641450167,-9.340328216552734,0.0,0.0,-0.0,nan,nan,nan
1785524835268090200,487597298,-2.999063014984131,-0.0020440772641450167,-9.340328216552734,0.0,0.0,-0.0,nan,nan,nan
1785524835284063200,487613951,-2.999063014984131,-0.0020440772641450167,-9.340328216552734,0.0,0.0,-0.0,nan,nan,nan
1785524835301915500,487633636,-2.999063014984131,-0.0020440772641450167,-9.340328216552734,0.0,0.0,-0.0,nan,nan,nan
1785524835319180900,487650132,-2.999063014984131,-0.0020440772641450167,-9.340328216552734,0.0,0.0,-0.0,nan,nan,nan
1785524835328507800,487663944,-2.999063014984131,-0.0020440772641450167,-9.340328216552734,0.0,0.0,-0.0,nan,nan,nan
1785524835347601700,487680616,-2.999063014984131,-0.0020440772641450167,-9.340328216552734,0.0,0.0,-0.0,nan,nan,nan
1785524835366686000,487699728,-2.999063014984131,-0.0020440772641450167,-9.340328216552734,0.0,0.0,-0.0,nan,nan,nan
