t_wall_ns,time_boot_ms,roll,pitch,yaw,rollspeed,pitchspeed,yawspeed
1785524832491060600,484680,0.0002188442595070228,0.3106890618801117,-3.140651226043701,0.0,0.0,-0.0
1785524832491060600,484680,0.0002188442595070228,0.3106890618801117,-3.140651226043701,0.0,0.0,-0.0
1785524832491060600,484700,0.0002188442595070228,0.3106890618801117,-3.140651226043701,0.0,0.0,-0.0
1785524832491060600,484700,0.0002188442595070228,0.3106890618801117,-3.140651226043701,0.0,0.0,-0.0
1785524832491060600,484716,0.0002188442595070228,0.3106890618801117,-3.140651226043701,0.0,0.0,-0.0
1785524832491060600,484730,0.0002188442595070228,0.3106890618801117,-3.140651226043701,0.0,0.0,-0.0
1785524832492566100,484730,0.0002188442595070228,0.3106890618801117,-3.140651226043701,0.0,0.0,-0.0
1785524832492566100,484747,0.0002188442595070228,0.3106890618801117,-3.140651226043701,0.0,0.0,-0.0
1785524832492566100,484747,0.0002188442595070228,0.3106890618801117,-3.140651226043701,0.0,0.0,-0.0
1785524832492566100,484766,0.0002188442595070228,0.3106890618801117,-3.140651226043701,0.0,0.0,-0.0
1785524832492566100,484766,0.0002188442595070228,0.3106890618801117,-3.140651226043701,0.0,0.0,-0.0
1785524832493572000,484783,0.0002188442595070228,0.3106890618801117,-3.140651226043701,0.0,0.0,-0.0
1785524832493572000,484783,0.0002188442595070228,0.3106890618801117,-3.140651226043701,0.0,0.0,-0.0
1785524832493572000,484797,0.0002188442595070228,0.3106890618801117,-3.140651226043701,0.0,0.0,-0.0
1785524832493572000,484797,0.0002188442595070228,0.3106890618801117,-3.140651226043701,0.0,0.0,-0.0
1785524832493572000,484813,0.0002188442595070228,0.3106890618801117,-3.140651226043701,0.0,0.0,-0.0
1785524832493572000,484813,0.0002188442595070228,0.3106890618801117,-3.140651226043701,0.0,0.0,-0.0
1785524832515200700,484833,0.0002188442595070228,0.3106890618801117,-3.140651226043701,0.0,0.0,-0.0
1785524832515200700,484833,0.0002188442595070228,0.3106890618801117,-3.140651226043701,0.0,0.0,-0.0
1785524832519695200,484849,0.0002188442595070228,0.3106890618801117,-3.140651226043701,0.0,0.0,-0.0
1785524832528098200,484864,0.0002188442595070228,0.3106890618801117,-3.140651226043701,0.0,0.0,-0.0
1785524832538987800,484864,0.0002188442595070228,0.3106890618801117,-3.140651226043701,0.0,0.0,-0.0
1785524832548343000,484880,0.0002188442595070228,0.3106890618801117,-3.140651226043701,0.0,0.0,-0.0
1785524832556254500,484880,0.0002188442595070228,0.3106890618801117,-3.140651226043701,0.0,0.0,-0.0
1785524832564329400,484880,0.0002188442595070228,0.3106890618801117,-3.140651226043701,0.0,0.0,-0.0
1785524832573729900,484905,0.0002188442595070228,0.3106890618801117,-3.140651226043701,0.0,0.0,-0.0
1785524832581023100,484917,0.0002188442595070228,0.3106890618801117,-3.140651226043701,0.0,0.0,-0.0
1785524832590779200,484917,0.0002188442595070228,0.3106890618801117,-3.140651226043701,0.0,0.0,-0.0
1785524832598798100,484930,0.0002188442595070228,0.3106890618801117,-3.140651226043701,0.0,0.0,-0.0
1785524832606944200,484930,0.0002188442595070228,0.3106890618801117,-3.140651226043701,0.0,0.0,-0.0
1785524832615290300,484947,0.0002188442595070228,0.3106890618801117,-3.140651226043701,0.0,0.0,-0.0
1785524832624774000,484947,0.0002188442595070228,0.3106890618801117,-3.140651226043701,0.0,0.0,-0.0
1785524832632404600,484966,0.0002188442595070228,0.3106890618801117,-3.140651226043701,0.0,0.0,-0.0
