t_wall_ns,what,threat_level,impulse,episode
1785524986858764400,environment,1,0.005008873995393515,1
1785524986858764400,environment,1,0.005167660769075155,1
1785524986858764400,environment,1,0.004324506502598524,1
1785524986858764400,environment,1,0.005642595235258341,1
1785524986858764400,environment,1,0.005018692463636398,1
1785524986858764400,environment,1,0.005117869470268488,1
1785524986871417700,environment,1,0.004517427179962397,1
1785524986871417700,environment,1,0.005782244261354208,1
1785524986871417700,environment,1,0.004447531886398792,1
1785524986871417700,environment,1,0.005866853520274162,1
1785524986890812100,environment,1,0.0043332395143806934,1
1785524986890812100,environment,1,0.005821994971483946,1
1785524986890812100,environment,1,0.004559575580060482,1
1785524986890812100,environment,1,0.005946037825196981,1
1785524986890812100,environment,1,0.004131076391786337,1
1785524986890812100,environment,1,0.005716853775084019,1
1785524986905397700,environment,1,0.004515280947089195,1
1785524986905397700,environment,1,0.0062811486423015594,1
1785524986905397700,environment,1,0.0041701169684529305,1
1785524986905397700,environment,1,0.006191667634993792,1
1785524986925683900,environment,1,0.004270403180271387,1
1785524986925683900,environment,1,0.006075780373066664,1
1785524986925683900,environment,1,0.00466010719537735,1
1785524986925683900,environment,1,0.00644971476867795,1
1785524986925683900,environment,1,0.004393586423248053,1
1785524986925683900,environment,1,0.0059791188687086105,1
1785524986938755900,environment,1,0.0040161083452403545,1
1785524986938755900,environment,1,0.005518805701285601,1
1785524986938755900,environment,1,0.003979056142270565,1
1785524986938755900,environment,1,0.005487909074872732,1
1785524986958209900,environment,1,0.004219730384647846,1
1785524986958209900,environment,1,0.005965270102024078,1
1785524986958209900,environment,1,0.004041789565235376,1
1785524986958209900,environment,1,0.005454776342958212,1
1785524986958209900,environment,1,0.004096528515219688,1
1785524986958209900,environment,1,0.005694170948117971,1
1785524986972382000,environment,1,0.0042554535903036594,1
1785524986972382000,environment,1,0.005865070037543774,1
1785524986972382000,environment,1,0.004223531577736139,1
1785524986972382000,environment,1,0.005811423063278198,1
1785524986991333100,environment,1,0.003960957285016775,1
1785524986991333100,environment,1,0.00543255778029561,1
1785524986991333100,environment,1,0.0039015039801597595,1
1785524986991333100,environment,1,0.00527123361825943,1
1785524986991333100,environment,1,0.0038906214758753777,1
1785524986991333100,environment,1,0.00529177812859416,1
