t_wall_ns,time_boot_ms,roll,pitch,yaw,rollspeed,pitchspeed,yawspeed
1785545321703221500,69100,0.00021729347645305097,0.3106810748577118,-3.1406848430633545,0.0,0.0,-0.0
1785545321704220300,69116,0.00021729347645305097,0.3106810748577118,-3.1406848430633545,0.0,0.0,-0.0
1785545321704220300,69130,0.00021729347645305097,0.3106810748577118,-3.1406848430633545,0.0,0.0,-0.0
1785545321704220300,69130,0.00021729347645305097,0.3106810748577118,-3.1406848430633545,0.0,0.0,-0.0
1785545321704220300,69147,0.00021729347645305097,0.3106810748577118,-3.1406848430633545,0.0,0.0,-0.0
1785545321705220600,69147,0.00021729347645305097,0.3106810748577118,-3.1406848430633545,0.0,0.0,-0.0
1785545321705220600,69147,0.00021729347645305097,0.3106810748577118,-3.1406848430633545,0.0,0.0,-0.0
1785545321705220600,69166,0.00021729347645305097,0.3106810748577118,-3.1406848430633545,0.0,0.0,-0.0
1785545321705220600,69183,0.00021729347645305097,0.3106810748577118,-3.1406848430633545,0.0,0.0,-0.0
1785545321706219200,69183,0.00021729347645305097,0.3106810748577118,-3.1406848430633545,0.0,0.0,-0.0
1785545321706219200,69197,0.00021729347645305097,0.3106810748577118,-3.1406848430633545,0.0,0.0,-0.0
1785545321706219200,69197,0.00021729347645305097,0.3106810748577118,-3.1406848430633545,0.0,0.0,-0.0
1785545321706219200,69214,0.00021729347645305097,0.3106810748577118,-3.1406848430633545,0.0,0.0,-0.0
1785545321707219700,69214,0.00021729347645305097,0.3106810748577118,-3.1406848430633545,0.0,0.0,-0.0
1785545321707219700,69233,0.00021729347645305097,0.3106810748577118,-3.1406848430633545,0.0,0.0,-0.0
1785545321707219700,69233,0.00021729347645305097,0.3106810748577118,-3.1406848430633545,0.0,0.0,-0.0
1785545321714349000,69250,0.00021729347645305097,0.3106810748577118,-3.1406848430633545,0.0,0.0,-0.0
1785545321722553600,69250,0.00021729347645305097,0.3106810748577118,-3.1406848430633545,0.0,0.0,-0.0
