t_wall_ns,time_boot_ms,x,y,z,vx,vy,vz
1785545321703221500,69100,-0.0005078124813735485,-2.9296874345163815e-05,0.020546874031424522,0.0,0.0,-0.0
1785545321703221500,69116,-0.0005078124813735485,-2.9296874345163815e-05,0.020546874031424522,0.0,0.0,-0.0
1785545321704220300,69130,-0.0005078124813735485,-2.9296874345163815e-05,0.020546874031424522,0.0,0.0,-0.0
1785545321704220300,69130,-0.0005078124813735485,-2.9296874345163815e-05,0.020546874031424522,0.0,0.0,-0.0
1785545321704220300,69147,-0.0005078124813735485,-2.9296874345163815e-05,0.020546874031424522,0.0,0.0,-0.0
1785545321705220600,69147,-0.0005078124813735485,-2.9296874345163815e-05,0.020546874031424522,0.0,0.0,-0.0
1785545321705220600,69166,-0.0005078124813735485,-2.9296874345163815e-05,0.020546874031424522,0.0,0.0,-0.0
1785545321705220600,69183,-0.0005078124813735485,-2.9296874345163815e-05,0.020546874031424522,0.0,0.0,-0.0
1785545321706219200,69183,-0.0005078124813735485,-2.9296874345163815e-05,0.020546874031424522,0.0,0.0,-0.0
1785545321706219200,69197,-0.0005078124813735485,-2.9296874345163815e-05,0.020546874031424522,0.0,0.0,-0.0
1785545321706219200,69214,-0.0005078124813735485,-2.9296874345163815e-05,0.020546874031424522,0.0,0.0,-0.0
1785545321707219700,69214,-0.0005078124813735485,-2.9296874345163815e-05,0.020546874031424522,0.0,0.0,-0.0
1785545321707219700,69233,-0.0005078124813735485,-2.9296874345163815e-05,0.020546874031424522,0.0,0.0,-0.0
1785545321707219700,69233,-0.0005078124813735485,-2.9296874345163815e-05,0.020546874031424522,0.0,0.0,-0.0
1785545321719453000,69250,-0.0005078124813735485,-2.9296874345163815e-05,0.020546874031424522,0.0,0.0,-0.0
1785545321729108700,69264,-0.0005078124813735485,-2.9296874345163815e-05,0.020546874031424522,0.0,0.0,-0.0
1785545321740435100,69264,-0.0005078124813735485,-2.9296874345163815e-05,0.020546874031424522,0.0,0.0,-0.0
1785545321751509400,69280,-0.0005078124813735485,-2.9296874345163815e-05,0.020546874031424522,0.0,0.0,-0.0
1785545321761229200,69280,-0.0005078124813735485,-2.9296874345163815e-05,0.020546874031424522,0.0,0.0,-0.0
1785545321772654200,69301,-0.0005078124813735485,-2.9296874345163815e-05,0.020546874031424522,0.0,0.0,-0.0
1785545321782359300,69317,-0.0005078124813735485,-2.9296874345163815e-05,0.020546874031424522,0.0,0.0,-0.0
1785545321793535800,69330,-0.0005078124813735485,-2.9296874345163815e-05,0.020546874031424522,0.0,0.0,-0.0
1785545321804710200,69330,-0.0005078124813735485,-2.9296874345163815e-05,0.020546874031424522,0.0,0.0,-0.0
1785545321815725700,69347,-0.0005078124813735485,-2.9296874345163815e-05,0.020546874031424522,0.0,0.0,-0.0
1785545321826886700,69347,-0.0005078124813735485,-2.9296874345163815e-05,0.020546874031424522,0.0,0.0,-0.0
